"date","total","dataset","info","federal","prov","muni"
"Sat Jan 09 08:10:02 2021",398,113,285,386,4,8
"Sat Jan  9 13:30:10 2021",398,113,285,386,4,8
"Sat Jan  9 18:48:36 2021",398,113,285,386,4,8
"Sun Jan 10 01:14:44 2021",398,113,285,386,4,8
"Sun Jan 10 12:39:15 2021",398,113,285,386,4,8
"Sun Jan 10 18:48:47 2021",398,113,285,386,4,8
"Mon Jan 11 01:12:57 2021",398,113,285,386,4,8
"Mon Jan 11 12:43:09 2021",398,113,285,386,4,8
"Mon Jan 11 18:49:07 2021",398,113,285,386,4,8
"Tue Jan 12 01:16:16 2021",398,113,285,386,4,8
"Tue Jan 12 03:01:15 2021",398,113,285,386,4,8
"Tue Jan 12 12:43:48 2021",398,113,285,386,4,8
"Tue Jan 12 18:56:19 2021",398,113,285,386,4,8
"Wed Jan 13 01:22:40 2021",398,113,285,386,4,8
"Wed Jan 13 12:50:37 2021",398,113,285,386,4,8
"Wed Jan 13 19:03:45 2021",400,113,287,388,4,8
"Thu Jan 14 01:32:17 2021",400,113,287,388,4,8
"Thu Jan 14 12:55:24 2021",400,113,287,388,4,8
"Thu Jan 14 19:02:05 2021",400,113,287,388,4,8
"Fri Jan 15 01:26:34 2021",400,113,287,388,4,8
"Fri Jan 15 12:49:42 2021",400,113,287,388,4,8
"Fri Jan 15 19:00:58 2021",401,114,287,389,4,8
"Sat Jan 16 01:29:50 2021",401,114,287,389,4,8
"Sat Jan 16 12:49:16 2021",401,114,287,389,4,8
"Sat Jan 16 18:58:30 2021",401,114,287,389,4,8
"Sun Jan 17 01:28:35 2021",401,114,287,389,4,8
"Sun Jan 17 12:46:33 2021",401,114,287,389,4,8
"Sun Jan 17 18:57:17 2021",401,114,287,389,4,8
"Mon Jan 18 01:25:47 2021",401,114,287,389,4,8
"Mon Jan 18 12:51:40 2021",401,114,287,389,4,8
"Mon Jan 18 19:00:27 2021",401,114,287,389,4,8
"Mon Jan 18 23:40:20 2021",401,114,287,389,4,8
"Tue Jan 19 01:29:53 2021",401,114,287,389,4,8
"Tue Jan 19 12:53:21 2021",401,114,287,389,4,8
"Tue Jan 19 19:09:04 2021",401,114,287,389,4,8
"Wed Jan 20 01:31:27 2021",415,114,301,403,4,8
"Wed Jan 20 12:53:03 2021",415,114,301,403,4,8
"Wed Jan 20 19:01:14 2021",415,114,301,403,4,8
"Thu Jan 21 01:30:34 2021",416,114,302,404,4,8
"Thu Jan 21 13:03:54 2021",416,114,302,404,4,8
"Thu Jan 21 19:04:24 2021",416,114,302,404,4,8
"Fri Jan 22 01:29:41 2021",416,114,302,404,4,8
"Fri Jan 22 12:51:47 2021",416,114,302,404,4,8
"Fri Jan 22 18:59:18 2021",419,117,302,407,4,8
"Sat Jan 23 01:28:05 2021",419,117,302,407,4,8
"Sat Jan 23 12:47:35 2021",419,117,302,407,4,8
"Sat Jan 23 18:57:06 2021",419,117,302,407,4,8
"Sun Jan 24 01:30:55 2021",419,117,302,407,4,8
"Sun Jan 24 12:51:31 2021",419,117,302,407,4,8
"Sun Jan 24 18:56:41 2021",419,117,302,407,4,8
"Mon Jan 25 01:29:29 2021",419,117,302,407,4,8
"Mon Jan 25 12:53:49 2021",419,117,302,407,4,8
"Mon Jan 25 18:59:25 2021",425,117,308,413,4,8
"Tue Jan 26 00:56:36 2021",425,117,308,413,4,8
"Tue Jan 26 12:38:51 2021",425,117,308,413,4,8
"Tue Jan 26 18:42:40 2021",425,117,308,413,4,8
"Wed Jan 27 00:53:04 2021",425,117,308,413,4,8
"Wed Jan 27 12:43:31 2021",425,117,308,413,4,8
"Wed Jan 27 18:45:11 2021",435,127,308,414,13,8
"Thu Jan 28 00:56:39 2021",435,127,308,414,13,8
"Thu Jan 28 12:33:25 2021",435,127,308,414,13,8
"Thu Jan 28 18:38:02 2021",435,127,308,414,13,8
