"","ID","org","collection","freq","jurisdiction","date_created","date_last_mod"
"1","007449d4-96ac-41b6-bd9d-0942f56688de","statcan","primary","P1Y","federal","2021-04-13T12:53:49.030373","2021-04-13T12:53:49.030382"
"2","007844d9-cc42-4359-ad74-ba6962bd5dc6","statcan","primary","P1Y","federal","2021-04-13T12:45:06.294599","2021-04-13T12:45:06.294606"
"3","00f413fd-1b3a-41a1-bb13-386812c467dd","statcan","primary","as_needed","federal","2021-04-13T12:43:09.357183","2021-04-13T12:43:09.357208"
"4","011ff922-fb26-4edc-9474-f10acf410dbc","nrcan-rncan","primary","P1Y","federal","2020-12-03T19:11:40.536845","2020-12-21T16:50:49.622191"
"5","01c12f93-d14c-4005-b671-e40030a3aa2c","hc-sc","primary","not_planned","federal","2021-01-06T17:52:00.588544","2021-01-06T17:52:00.588550"
"6","0230cc37-5710-4b43-8979-d1239345aafd","statcan","primary","as_needed","federal","2021-04-13T12:51:56.565657","2021-04-13T12:51:56.565663"
"7","0298736c-766d-45ab-aa5b-4f9a9bbcc426","statcan","primary","as_needed","federal","2021-02-04T13:47:34.033516","2021-02-05T13:43:00.634912"
"8","02abe93c-a105-498f-82ff-d069fa837f08","statcan","primary","as_needed","federal","2021-04-07T12:40:57.428896","2021-04-07T12:40:57.428907"
"9","02c3c760-b26c-4fa4-83f0-b8ec12b34b33","statcan","primary","P1Y","federal","2021-04-13T12:59:53.016728","2021-04-13T12:59:53.016735"
"10","02c76e43-56de-435e-8235-5bbc58f471e5","statcan","primary","P1Y","federal","2021-04-13T12:50:17.833972","2021-04-13T12:50:17.833980"
"11","03168601-f02d-47c8-8efa-995cc27bec92","statcan","primary","as_needed","federal","2021-03-23T15:01:38.714399","2021-03-23T15:01:38.714407"
"12","0347292c-f537-4ed8-a784-ba62f77018a8","statcan","primary","as_needed","federal","2021-04-13T12:56:22.222191","2021-04-13T12:56:22.222200"
"13","03d39ef1-6b49-4419-9dd6-4a6b796a0fa1","statcan","primary","as_needed","federal","2021-04-13T12:57:00.294072","2021-04-13T12:57:00.294079"
"14","03db0f11-889e-4cc7-852a-c8f3f63c7c03","cra-arc","primary","P3M","federal","2020-12-07T21:51:35.714744","2020-12-07T21:51:35.714750"
"15","04091fc6-e4ac-4a5d-adba-fa45e5ee679d","statcan","primary","P1Y","federal","2021-04-08T12:40:56.717352","2021-04-08T12:40:56.717359"
"16","04baf502-a961-4173-ab87-b054128b9cac","statcan","primary","as_needed","federal","2020-06-11T12:39:14.190999","2021-04-12T12:42:22.067556"
"17","052d45dd-9fc3-4063-b2cc-979e3e7d0d7a","statcan","primary","P1Y","federal","2021-03-08T13:49:07.443728","2021-03-09T13:40:10.922994"
"18","053ec8c5-5cb0-4df8-8037-5997d9c4e3dd","fin","primary","as_needed","federal","2020-07-30T18:01:25.064279","2020-09-25T15:28:10.711284"
"19","05c7f8e7-9885-434a-99a2-68d253cb6401","statcan","primary","P1D","federal","2021-03-11T19:41:27.731523","2021-03-11T21:31:19.323124"
"20","062c769f-57d7-432e-9d33-1e333a87d6d0","hc-sc","primary","P1Y","federal","2020-05-27T17:00:30.020620","2020-09-25T15:41:20.471775"
"21","068ac5cd-cce8-4782-922d-e9f1093bf24f","statcan","primary","as_needed","federal","2021-04-08T12:44:18.958252","2021-04-08T12:44:18.958260"
"22","068adef5-a231-49c9-be68-a6ef0537beb0","cra-arc","primary","P1Y","federal","2020-12-07T21:51:32.540551","2020-12-07T21:51:32.540557"
"23","06baf9d8-aa90-4649-8516-b78e569c2d32","cer-rec","primary","P1Y","federal","2021-02-23T20:10:55.623428","2021-04-26T16:00:57.638835"
"24","06bff7ea-66a0-4ef8-82de-f9a514f9eeec","statcan","primary","P1Y","federal","2021-04-13T12:41:33.929400","2021-04-13T12:41:33.929407"
"25","06d432ed-0502-45f4-9026-a66c7d607d7b","statcan","primary","P1Y","federal","2021-04-13T12:52:46.467542","2021-04-13T12:52:46.467549"
"26","07f43de0-0e7c-4923-9c9e-6cf7da06dc8a","statcan","primary","as_needed","federal","2021-04-01T12:41:25.686809","2021-04-01T12:41:25.686819"
"27","07f63502-d623-46a2-8c3e-d1573269b7c5","statcan","primary","P1Y","federal","2021-04-13T12:58:50.875304","2021-04-13T12:58:50.875311"
"28","08132980-c6b8-45e5-a9e0-9a88f9808c8a","tsb-bst","primary","P1M","federal","2020-04-27T12:54:54.667553","2021-04-28T15:50:15.677284"
"29","0839efd2-03bb-4d02-a472-96f25f9419f0","statcan","primary","as_needed","federal","2021-03-23T15:01:33.092456","2021-03-23T15:01:33.092464"
"30","08883829-751d-4ebe-a9df-6d4039ede7d9","cra-arc","primary","P1Y","federal","2020-07-07T11:20:28.998887","2020-09-25T16:31:12.137626"
"31","08d9d9f7-2009-4208-88a1-e1013f4697e4","statcan","primary","P1Y","federal","2021-04-08T12:41:00.833192","2021-04-08T12:41:00.833199"
"32","08e6e38e-0bbb-4866-8167-f996fecd3be7","statcan","primary","P1Y","federal","2021-03-10T13:39:25.463734","2021-03-11T13:40:01.826755"
"33","09447a8e-3fad-441b-a670-b7becf38e9d3","cgc-ccg","primary","P1Y","federal","2021-02-26T17:10:15.745897","2021-02-26T17:10:15.745903"
"34","09601e35-1db6-4177-a6e7-425ad9c12546","statcan","primary","P1M","federal","2020-12-18T13:39:59.951694","2021-04-20T12:38:49.048399"
"35","0979ab50-a6c5-4273-beb2-cc1f331392b4","statcan","primary","P3M","federal","2021-03-29T12:43:15.363777","2021-03-30T12:44:42.106918"
"36","099bc59c-f787-45a9-ae58-f44b7fe1913b","statcan","primary","P1Y","federal","2021-04-13T12:40:05.503012","2021-04-13T12:40:05.503020"
"37","09a41ab1-d3e7-4e4c-a267-d27555645225","statcan","primary","P1Y","federal","2020-07-20T12:41:00.257306","2021-03-23T15:02:18.979619"
"38","09f46c60-560c-423a-9a16-1d3b98c7e0dc","nrcan-rncan","primary","unknown","federal","2021-03-29T15:30:55.714837","2021-03-29T15:30:55.714843"
"39","0a1484e2-0244-4d9e-948e-452c0d371aae","statcan","primary","P1Y","federal","2021-04-13T12:51:14.382735","2021-04-13T12:51:14.382742"
"40","0a22729b-9244-4b84-94da-ed4056b738f3","statcan","primary","as_needed","federal","2021-04-13T12:46:12.028310","2021-04-13T12:46:12.028317"
"41","0a4380c9-0b86-4d4c-b241-13e7da010c3f","cer-rec","primary","P4M","federal","2020-12-09T16:11:23.137529","2020-12-09T16:11:23.137535"
"42","0a608141-8249-48a5-bac8-14295da42221","statcan","primary","as_needed","federal","2020-08-21T12:39:13.505309","2020-09-25T16:55:47.631571"
"43","0a8bb9e3-5a26-41f5-ad6a-19d996691cc1","statcan","primary","as_needed","federal","2021-04-13T12:45:11.209671","2021-04-13T12:45:11.209679"
"44","0b325aa8-0486-4f0c-863d-db0591206da1","statcan","primary","as_needed","federal","2021-04-13T12:39:45.997140","2021-04-13T12:39:45.997147"
"45","0c6d1a55-41fd-4ef0-9215-4acd34f418c1","statcan","primary","as_needed","federal","2020-09-29T12:41:18.169116","2020-09-30T12:41:12.851905"
