PUBDATE_EN,PUBDATE_FR,TITLE_TEXT_EN,TITLE_URL_EN,TITLE_TEXT_FR,TITLE_URL_FR,TEASER_EN,TEASER_FR,ADDITIONAL_TOPICS_EN,ADDITIONAL_TOPICS_FR,AUDIENCE_EN,AUDIENCE_FR,TYPE_EN,TYPE_FR,DEPT_EN,DEPT_FR,LOCATION_EN,LOCATION_FR,MINISTER_EN,MINISTER_FR,TOPIC_EN,TOPIC_FR,SUBJECT_EN,SUBJECT_FR
2024-06-21 14:00:00,2024-06-21 14:00:00,Canadian creativity expands into new international markets,https://www.canada.ca/en/canadian-heritage/news/2024/06/canadian-creativity-expands-into-new-international-markets.html,La créativité canadienne s’étend aux nouveaux marchés internationaux,https://www.canada.ca/fr/patrimoine-canadien/nouvelles/2024/06/la-creativite-canadienne-setend-aux-nouveaux-marches-internationaux.html,Creative Export Canada helps Canadian businesses expand globally,Exportation créative Canada permet aux entreprises canadiennes de pénétrer les marchés mondiaux,,,general public,grand public,news releases,communiqués de presse,Canadian Heritage,Patrimoine canadien,Canada,Canada,Hon. Pascale St-Onge,L'hon. Pascale St-Onge,Business and industry,Entreprises et industrie,"Business development, Economics and Industry","Développement de l'entreprise, Économie et industrie"
2024-06-21 14:00:00,2024-06-21 14:00:00,The Government of Canada supports the creation of the Gwichya Gwich’in Band Cultural Centre in the Northwest Territories,https://www.canada.ca/en/canadian-heritage/news/2024/06/the-government-of-canada-supports-the-creation-of-the-gwichya-gwichin-band-cultural-centre-in-the-northwest-territories.html,La créativité canadienne s’étend aux nouveaux marchés internationaux,https://www.canada.ca/fr/patrimoine-canadien/nouvelles/2024/06/la-creativite-canadienne-setend-aux-nouveaux-marches-internationaux.html,The Government of Canada supports the sharing of Indigenous heritage and traditional knowledge with the creation of the Gwichya Gwich’in Band Cultural Centre,Exportation créative Canada permet aux entreprises canadiennes de pénétrer les marchés mondiaux,,,general public,grand public,news releases,communiqués de presse,Canadian Heritage,Patrimoine canadien,Canada,Canada,Hon. Pascale St-Onge,L'hon. Pascale St-Onge,"Culture, history and sport",Entreprises et industrie,"Cultural institutions, Society and Culture","Développement de l'entreprise, Économie et industrie"
2024-06-21 14:00:00,2024-06-21 14:00:00,Government of Canada supports the revitalization of South Slavey Dene Zhatié language in Nahanni Butte,https://www.canada.ca/en/canadian-heritage/news/2024/06/government-of-canada-supports-the-revitalization-of-south-slavey-dene-zhatie-language-in-nahanni-butte.html,La créativité canadienne s’étend aux nouveaux marchés internationaux,https://www.canada.ca/fr/patrimoine-canadien/nouvelles/2024/06/la-creativite-canadienne-setend-aux-nouveaux-marches-internationaux.html,"Canadian Heritage will support the Nahæâ Dehé Dene Band realize various linguistic projects focused on community engagement, language promotion and documentation.  ",Exportation créative Canada permet aux entreprises canadiennes de pénétrer les marchés mondiaux,,,general public,grand public,news releases,communiqués de presse,Canadian Heritage,Patrimoine canadien,Canada,Canada,Hon. Pascale St-Onge,L'hon. Pascale St-Onge,"Canadian identity and society, Culture, history and sport, Funding – Indigenous peoples and cultures, Indigenous peoples and cultures",Entreprises et industrie,"Aboriginal languages, Language and Linguistics, Languages","Développement de l'entreprise, Économie et industrie"
2024-06-08 10:45:00,2024-06-08 10:45:00,"The Government of Canada launches Changing Systems, Transforming Lives: Canada's Anti-Racism Strategy 2024–2028",https://www.canada.ca/en/canadian-heritage/news/2024/06/the-government-of-canada-launches-changing-systems-transforming-lives-canadas-anti-racism-strategy-20242028.html,Le gouvernement du Canada lance Changer les systèmes pour transformer des vies : la stratégie canadienne de lutte contre le racisme 2024‑2028,https://www.canada.ca/fr/patrimoine-canadien/nouvelles/2024/06/le-gouvernement-du-canada-lance-changer-les-systemes-pour-transformer-des-vies--strategie-canadienne-de-lutte-contre-le-racisme-20242028.html,The new Strategy provides a community-driven framework and a more holistic approach to tackling systemic racism and discrimination in Canada,La nouvelle stratégie fournit un cadre communautaire et une approche plus globale en vue de s’attaquer au racisme systémique et à la discrimination au Canada,,,general public,grand public,news releases,communiqués de presse,Canadian Heritage,Patrimoine canadien,Canada,Canada,Hon. Kamal Khera,L'hon. Kamal Khera,"Culture, history and sport","Culture, histoire et sport",Society and Culture,Société et culture
2024-06-08 10:45:00,2024-06-08 10:45:00,"Backgrounder: Changing Systems, Transforming Lives: Canada's Anti-Racism Strategy 2024–2028",https://www.canada.ca/en/canadian-heritage/news/2024/06/backgrounder-changing-systems-transforming-lives-canadas-anti-racism-strategy-20242028.html,Le gouvernement du Canada lance Changer les systèmes pour transformer des vies : la stratégie canadienne de lutte contre le racisme 2024‑2028,https://www.canada.ca/fr/patrimoine-canadien/nouvelles/2024/06/le-gouvernement-du-canada-lance-changer-les-systemes-pour-transformer-des-vies--strategie-canadienne-de-lutte-contre-le-racisme-20242028.html,"To shape Changing Systems, Transforming Lives: Canada's Anti-Racism Strategy 2024–2028, the Government led multiple engagement activities between 2019 and early 2023",La nouvelle stratégie fournit un cadre communautaire et une approche plus globale en vue de s’attaquer au racisme systémique et à la discrimination au Canada,,,general public,grand public,backgrounders,communiqués de presse,Canadian Heritage,Patrimoine canadien,Canada,Canada,Hon. Kamal Khera,L'hon. Kamal Khera,"Culture, history and sport","Culture, histoire et sport",Society and Culture,Société et culture
2024-06-01 09:00:00,2024-06-01 09:00:00,Statement by Minister Khera on Italian Heritage Month,https://www.canada.ca/en/canadian-heritage/news/2024/06/statement-by-minister-khera-on-italian-heritage-month.html,Déclaration de la ministre Khera à l’occasion du Mois du patrimoine portugais,https://www.canada.ca/fr/patrimoine-canadien/nouvelles/2024/06/declaration-de-la-ministre-khera-a-loccasion-du-mois-du-patrimoine-portugais.html,The Government of Canada issues a statement to mark Italian Heritage Month.,Le gouvernement du Canada émet une déclaration pour marquer et commémorer le Mois du patrimoine portugais,,,general public,grand public,statements,déclarations,Canadian Heritage,Patrimoine canadien,Canada,Canada,Hon. Kamal Khera,L'hon. Kamal Khera,"Culture, history and sport, History and heritage","Culture, histoire et sport, Histoire et patrimoine","Cultural heritage, Heritage, History and Archaeology, National heritage","Histoire et archéologie, Patrimoine, Patrimoine culturel, Patrimoine national"
2024-06-01 09:00:00,2024-06-01 09:00:00,Statement by Minister Khera on Portuguese Heritage Month,https://www.canada.ca/en/canadian-heritage/news/2024/06/statement-by-minister-khera-on-portuguese-heritage-month.html,Déclaration de la ministre Khera à l’occasion du Mois du patrimoine portugais,https://www.canada.ca/fr/patrimoine-canadien/nouvelles/2024/06/declaration-de-la-ministre-khera-a-loccasion-du-mois-du-patrimoine-portugais.html,The Government of Canada issues a statement to mark Portuguese Heritage Month,Le gouvernement du Canada émet une déclaration pour marquer et commémorer le Mois du patrimoine portugais,,,general public,grand public,statements,déclarations,Canadian Heritage,Patrimoine canadien,Canada,Canada,Hon. Kamal Khera,L'hon. Kamal Khera,"Culture, history and sport, History and heritage","Culture, histoire et sport, Histoire et patrimoine","Cultural heritage, Heritage, History and Archaeology, National heritage","Histoire et archéologie, Patrimoine, Patrimoine culturel, Patrimoine national"
2024-06-01 09:00:00,2024-06-01 09:00:00,Statement by Minister Khera on Filipino Heritage Month,https://www.canada.ca/en/canadian-heritage/news/2024/06/statement-by-minister-khera-on-filipino-heritage-month.html,Déclaration de la ministre Khera à l’occasion du Mois du patrimoine portugais,https://www.canada.ca/fr/patrimoine-canadien/nouvelles/2024/06/declaration-de-la-ministre-khera-a-loccasion-du-mois-du-patrimoine-portugais.html,Government of Canada issues statement to mark Filipino Heritage Month.,Le gouvernement du Canada émet une déclaration pour marquer et commémorer le Mois du patrimoine portugais,,,general public,grand public,statements,déclarations,Canadian Heritage,Patrimoine canadien,Canada,Canada,Hon. Kamal Khera,L'hon. Kamal Khera,"Culture, history and sport, History and heritage","Culture, histoire et sport, Histoire et patrimoine","Cultural heritage, Heritage, History and Archaeology, National heritage","Histoire et archéologie, Patrimoine, Patrimoine culturel, Patrimoine national"
2024-05-18 11:02:05,2024-05-18 11:02:05,Government of Canada to make announcement on combatting auto-theft,https://www.canada.ca/en/transport-canada/news/2024/05/updating-canadas-theft-protection-options-for-new-vehicles.html,Le gouvernement du Canada fera une annonce au sujet de la lutte contre le vol de véhicules,https://www.canada.ca/fr/transports-canada/nouvelles/2024/05/mise-a-jour-des-options-de-protection-contre-le-vol-pour-les-vehicules-neufs-au-canada.html,"The Minister of Transport and Quebec Lieutenant, Pablo Rodriguez, and the Minister of Innovation, Science and Industry, François-Philippe Champagne, will make an announcement regarding combatting auto-theft.","Le ministre des Transports et lieutenant du Québec, Pablo Rodriguez, et le ministre de l’Innovation, des Sciences et de l’Industrie, François-Philippe Champagne, feront une annonce au sujet de la lutte contre le vol de véhicules.","Road transportation, Transport and infrastructure","Transport et infrastructure, Transport routier",general public,grand public,backgrounders,documents d'information,Transport Canada,Transports Canada,Canada,Canada,Hon. Pablo Rodriguez,L'hon. Pablo Rodriguez,Transport and infrastructure,Transport et infrastructure,"Motor vehicles, Road transport, Transport, Vehicles","Transport, Transport routier, Véhicule, Véhicule automobile"
2024-05-17 18:13:00,2024-05-17 18:13:00,Governments of Canada and Newfoundland and Labrador to make an important health care announcement.,https://www.canada.ca/en/health-canada/news/2024/05/governments-of-canada-and-newfoundland-and-labrador-to-make-an-important-health-care-announcement.html,Les gouvernements du Canada et de Terre-Neuve et Labrador feront une annonce importante sur les soins de santé.,https://www.canada.ca/fr/sante-canada/nouvelles/2024/05/les-gouvernements-du-canada-et-de-terre-neuve-et-labrador-feront-une-annonce-importante-sur-les-soins-de-sante.html,"The Honourable Seamus O’Regan Jr., Minister of Labour and Seniors, on behalf of the Honourable Mark Holland, Canada’s Minister of Health, and the Honourable Tom Osborne, Newfoundland and Labrador’s Minister of Health and Community Services will make an important health care announcement.","L’honorable Seamus O’Regan Jr., ministre du Travail et des Aînés, au nom de l’honorable Mark Holland, ministre de la Santé du Canada, et l’honorable Tom Osborne, ministre de la Santé et des Services communautaires de Terre-Neuve-et-Labrador, feront une annonce importante sur les soins de santé.",,,media,médias,media advisories,avis aux médias,Health Canada,Santé Canada,"Atlantic, Canada, Newfoundland and Labrador","Atlantique, Canada, Terre-Neuve-et-Labrador",Hon. Mark Holland,L'hon. Mark Holland,Health,Santé,Health and Safety,Santé et sécurité
