PUBDATE,TITLE_TEXT_EN,TITLE_URL_EN,TITLE_TEXT_FR,TITLE_URL_FR,TEASER_EN,TEASER_FR,ADDITIONAL_TOPICS_EN,ADDITIONAL_TOPICS_FR,AUDIENCE_EN,AUDIENCE_FR,TYPE_EN,TYPE_FR,DEPT_EN,DEPT_FR,LOCATION_EN,LOCATION_FR,MINISTER_EN,MINISTER_FR,TOPIC_EN,TOPIC_FR,SUBJECT_EN,SUBJECT_FR
2024-08-28 20:10:27,Government of Canada to Make Emergency Preparedness Announcement,https://www.canada.ca/en/natural-resources-canada/news/2024/08/government-of-canada-to-make-emergency-preparedness-announcement.html,Le gouvernement du Canada fera une annonce sur la protection civile,https://www.canada.ca/fr/ressources-naturelles-canada/nouvelles/2024/08/le-gouvernement-du-canada-fera-une-annonce-sur-la-protection-civile.html,"The Honourable Jonathan Wilkinson, Minister of Energy and Natural Resources, along with the Honourable Harjit S. Sajjan, President of the King’s Privy Council for Canada, Minister of Emergency Preparedness and Minister responsible for the Pacific Economic Development Agency of Canada, and the Honourable Bowinn Ma, B.C.’s Minister of Emergency Management and Climate Readiness, will make an important announcement regarding emergency preparedness in B.C. They will be joined by Wilson Miao, Member of Parliament for Richmond Centre, B.C.","Le ministre de l’Énergie et des Ressources naturelles, l’honorable Jonathan Wilkinson, de concert avec le président du Conseil privé du Roi pour le Canada, ministre de la Protection civile et ministre responsable de l’Agence de développement économique du Pacifique Canada, l’honorable Harjit S. Sajjan, et la ministre de la Gestion des mesures d’urgence et de la Préparation climatique de la Colombie-Britannique, l’honorable Bowinn Ma, fera une annonce importante sur la protection civile en Colombie-Britannique. Ils seront accompagnés par le député de Richmond-Centre, Wilson Miao.",,,media,médias,media advisories,avis aux médias,Natural Resources Canada,Ressources naturelles Canada,Canada,Canada,Hon. Jonathan Wilkinson,L'hon. Jonathan Wilkinson,Environment and natural resources,Environnement et ressources naturelles,Nature and Environment,Nature et environnement
2024-08-28 20:04:59,Statement regarding investigation in Six Nations,https://www.canada.ca/en/indigenous-services-canada/news/2024/08/statement-regarding-investigation-in-six-nations.html,Déclaration concernant l’enquête en cours à Six Nations,https://www.canada.ca/fr/services-autochtones-canada/nouvelles/2024/08/declaration-concernant-lenquete-en-cours-a-six-nations.html,"The Deputy Minister of Indigenous Services Canada, issued the following statement today","La sous-ministre des Services aux Autochtones, a publié la déclaration suivante aujourd’hui",,,"Aboriginal peoples, general public","Peuples autochtones, grand public",statements,déclarations,Indigenous Services Canada,Services aux Autochtones Canada,"Canada, Gatineau, Quebec","Canada, Gatineau, Québec",,,"Culture, history and sport","Culture, histoire et sport",Society and Culture,Société et culture
2024-08-28 16:39:38,CRTC Broadband Fund: Projects selected in August 2024,https://www.canada.ca/en/radio-television-telecommunications/news/2024/08/crtc-broadband-fund-projects-selected-in-august-2024.html,Fonds pour la large bande du CRTC : projets sélectionnés en août 2024,https://www.canada.ca/fr/radiodiffusion-telecommunications/nouvelles/2024/08/fonds-pour-la-large-bande-du-crtc--projets-selectionnes-en-aout-2024.html,The CRTC has selected four new projects to receive funding through its Broadband Fund. ,Le CRTC a sélectionné quatre nouveaux projets qui bénéficieront d’un financement dans le cadre de son Fonds pour la large bande. ,,,general public,grand public,backgrounders,documents d'information,Canadian Radio-television and Telecommunications Commission,Conseil de la radiodiffusion et des télécommunications canadiennes,Canada,Canada,,,Business and industry,Entreprises et industrie,Information and Communications,Information et communication
2024-08-28 16:39:17,CRTC takes action to improve cellphone service along eight major roads,https://www.canada.ca/en/radio-television-telecommunications/news/2024/08/crtc-takes-action-to-improve-cellphone-service-along-eight-major-roads.html,Le CRTC prend des mesures pour améliorer les services de téléphonie cellulaire le long de huit routes principales,https://www.canada.ca/fr/radiodiffusion-telecommunications/nouvelles/2024/08/le-crtc-prend-des-mesures-pour-ameliorer-les-services-de-telephonie-cellulaire-le-long-de-huit-routes-principales.html,"Today, the CRTC is taking action to improve cellphone service along nearly one hundred kilometres of major roads in Newfoundland and Labrador, Quebec, and Ontario. Better coverage will help make it safer for Canadians to travel along these roads.","Aujourd’hui, le CRTC prend des mesures pour améliorer les services de téléphonie cellulaire le long de près de 100 kilomètres de routes principales à Terre-Neuve-et-Labrador, au Québec et en Ontario. Une meilleure couverture rendra les déplacements sur ces routes plus sécuritaires pour les Canadiens.",,,general public,grand public,news releases,communiqués de presse,Canadian Radio-television and Telecommunications Commission,Conseil de la radiodiffusion et des télécommunications canadiennes,Canada,Canada,,,Business and industry,Entreprises et industrie,Information and Communications,Information et communication
2024-08-28 15:42:44,Minister Vandal announces investments in technology and innovation in Saskatchewan,https://www.canada.ca/en/prairies-economic-development/news/2024/08/minister-vandal-announces-investments-in-technology-and-innovation-in-saskatchewan.html,Le ministre Vandal annonce des investissements dans les technologies et l’innovation en Saskatchewan,https://www.canada.ca/fr/developpement-economique-prairies/nouvelles/2024/08/le-ministre-vandal-annonce-des-investissements-dans-les-technologies-et-linnovation-en-saskatchewan.html,Government of Canada invests over $6.3M for technology and innovation in Saskatchewan,"Le gouvernement du Canada investit 6,3 M$ des dans les technologies et l’innovation en Saskatchewan","Business and industry, Getting business support and financing, Regional business support, Saskatchewan business support, Starting a business","Entreprises et industrie, Lancer une entreprise, Obtenir du soutien et du financement pour votre entreprise, Organismes et services de soutien à l'entreprise, Soutien aux entreprises de la Saskatchewan","business, general public, media","entreprises, grand public, médias",news releases,communiqués de presse,Prairies Economic Development,Développement économique Canada pour les Prairies,"Canada, Prairies, Saskatchewan","Canada, Prairies, Saskatchewan",Hon. Dan Vandal,L'hon. Dan Vandal,"Business and industry, Getting business support and financing, Regional business support, Starting a business","Entreprises et industrie, Lancer une entreprise, Obtenir du soutien et du financement pour votre entreprise, Organismes et services de soutien à l'entreprise","Business development, Business start-ups, Economics and Industry, Entrepreneurs, Entrepreneurship, Industry, Manufacturing industry, Secondary industry","Démarrage d'une entreprise, Développement de l'entreprise, Entrepreneur, Entrepreneuriat, Industrie, Industrie de la fabrication, Industrie secondaire, Économie et industrie"
2024-08-28 15:42:31,Backgrounder: Minister Vandal announces investments in technology and innovation in Saskatchewan,https://www.canada.ca/en/prairies-economic-development/news/2024/08/backgrounder-minister-vandal-announces-investments-in-technology-and-innovation-in-saskatchewan.html,Document d’information : Le ministre Vandal annonce des investissements dans les technologies et l’innovation en Saskatchewan,https://www.canada.ca/fr/developpement-economique-prairies/nouvelles/2024/08/document-dinformation--le-ministre-vandal-annonce-des-investissements-dans-les-technologies-et-linnovation-en-saskatchewan.html,"PrairiesCan is investing $6,336,624 million for nine projects in Saskatchewan.  These investments in the Saskatchewan economy support digital technology, innovation, and business growth through repayable funding direct to business, and targeted initiatives for business organizations which are non-repayable.","PrairiesCan investit 6 336 624 $ dans neuf projets en Saskatchewan. Ces investissements dans l’économie de la Saskatchewan soutiennent les technologies numériques, l’innovation et la croissance des entreprises au moyen de financements remboursables accordés directement aux entreprises, et d’initiatives ciblées non remboursables destinées à des organisations commerciales.","Business and industry, Getting business support and financing, Regional business support, Saskatchewan business support, Starting a business","Entreprises et industrie, Lancer une entreprise, Obtenir du soutien et du financement pour votre entreprise, Organismes et services de soutien à l'entreprise, Soutien aux entreprises de la Saskatchewan","business, general public, media","entreprises, grand public, médias",backgrounders,documents d'information,Prairies Economic Development,Développement économique Canada pour les Prairies,"Canada, Prairies, Saskatchewan","Canada, Prairies, Saskatchewan",Hon. Dan Vandal,L'hon. Dan Vandal,"Business and industry, Getting business support and financing, Regional business support, Starting a business","Entreprises et industrie, Lancer une entreprise, Obtenir du soutien et du financement pour votre entreprise, Organismes et services de soutien à l'entreprise","Business development, Business start-ups, Economics and Industry, Entrepreneurs, Entrepreneurship, Industry, Manufacturing industry, Secondary industry","Démarrage d'une entreprise, Développement de l'entreprise, Entrepreneur, Entrepreneuriat, Industrie, Industrie de la fabrication, Industrie secondaire, Économie et industrie"
2024-08-28 15:00:00,Samuel De Champlain Bridge: Special Illumination to Celebrate the Opening of the 2024 Summer Paralympic Games,https://www.canada.ca/en/housing-infrastructure-communities/news/2024/08/samuel-de-champlain-bridge-special-illumination-to-celebrate-the-opening-of-the-2024-summer-paralympic-games.html,Pont Samuel-De Champlain : Illumination spéciale pour célébrer l’ouverture des Jeux paralympiques d’été 2024,https://www.canada.ca/fr/logement-infrastructures-collectivites/nouvelles/2024/08/pont-samuel-de-champlain--illumination-speciale-pour-celebrer-louverture-des-jeux-paralympiques-dete-2024.html,"Tonight, the Samuel De Champlain Bridge will be lit up in the colours of the Paralympic flag from sunset to 10:00 p.m. to celebrate the opening of the 2024 Summer Paralympic Games in Paris and support Team Canada.","Ce soir, le pont Samuel-De Champlain sera illuminé aux couleurs du drapeau paralympique, du coucher du soleil jusqu'à 22 h, pour célébrer l’ouverture des Jeux paralympiques d’été 2024 à Paris et supporter Équipe Canada.",,,"general public, government, media","gouvernement, grand public, médias",media advisories,avis aux médias,"Housing, Infrastructure and Communities Canada","Logement, Infrastructures et Collectivités du Canada","Canada, Montréal, Quebec","Canada, Montréal, Québec",,,"Infrastructure, Transport and infrastructure","Infrastructures, Transport et infrastructure",Transport,Transport
2024-08-28 14:55:00,Statement by Minister Qualtrough on the opening of the Paris 2024 Paralympic Games,https://www.canada.ca/en/canadian-heritage/news/2024/08/statement-by-minister-qualtrough-on-the-opening-of-the-paris-2024-paralympic-games.html,Déclaration de la ministre Qualtrough pour l’ouverture des Jeux paralympiques de Paris 2024,https://www.canada.ca/fr/patrimoine-canadien/nouvelles/2024/08/declaration-de-la-ministre-qualtrough-pour-louverture-des-jeux-paralympiques-de-paris-2024.html,"From August 28 to September 8, Team Canada will proudly represent our country at the Paris 2024 Paralympic Games","Du 28 août au 8 septembre, Équipe Canada représentera fièrement notre pays aux Jeux paralympiques de Paris 2024",,,general public,grand public,statements,déclarations,Canadian Heritage,Patrimoine canadien,Canada,Canada,Hon. Carla Qualtrough,L'hon. Carla Qualtrough,"Culture, history and sport, Sport","Culture, histoire et sport, Sport","Society and Culture, Sports events","Société et culture, Événement sportif"
2024-08-28 14:31:01,Death of an inmate from Collins Bay Institution,https://www.canada.ca/en/correctional-service/news/2024/08/death-of-an-inmate-from-collins-bay-institution0.html,Décès d’un détenu de l’Établissement de Collins Bay,https://www.canada.ca/fr/service-correctionnel/nouvelles/2024/08/deces-dun-detenu-de-letablissement-de-collins-bay0.html,"On August 28, 2024, an inmate from Collins Bay Institution, died while in our custody of apparent natural causes. The individual’s name has been anonymized to comply with a court-ordered publication ban.","Le 28 août 2024, un détenu de l’Établissement de Collins Bay, est décédé sous notre garde de causes naturelles apparentes. Le nom de la personne a été rendu anonyme pour se conformer à une ordonnance de non-publication de la cour.",,,"general public, media","grand public, médias",news releases,communiqués de presse,Correctional Service Canada,Service correctionnel Canada,"Canada, Ontario","Canada, Ontario",,,"Correctional facilities and security, Corrections, Policing, justice and emergencies","Installations et sécurité, Services correctionnels, Services de police, justice et urgences","Health and Safety, Public safety, Safety","Santé et sécurité, Sécurité, Sécurité publique"
2024-08-28 14:25:51,Governments to announce support for Pointe-du-Chêne wharf,https://www.canada.ca/en/atlantic-canada-opportunities/news/2024/08/governments-to-announce-support-for-pointe-du-chene-wharf.html,Les gouvernements annoncent un soutien pour le quai Pointe-du-Chêne ,https://www.canada.ca/fr/promotion-economique-canada-atlantique/nouvelles/2024/08/les-gouvernements-annoncent-un-soutien-pour-le-quai-pointe-du-chene.html,Governments to announce support for Pointe-du-Chêne wharf,Les gouvernements annoncent un soutien pour le quai Pointe-du-Chêne ,,,general public,grand public,media advisories,avis aux médias,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,"Atlantic, Canada, New Brunswick, Westmorland","Atlantique, Canada, Nouveau-Brunswick, Westmorland",,,Environment and natural resources,Environnement et ressources naturelles,"Disaster relief, Humanitarian aid, Nature and Environment, Society and Culture","Aide humanitaire, Nature et environnement, Secours en cas de désastre, Société et culture"
