"year/month","downloads","pageviews","id"
"202006","0","0","6755f53b-e52e-4be5-9c22-1a28d10d2e2e"
"202007","0","0","6755f53b-e52e-4be5-9c22-1a28d10d2e2e"
"202008","3","5","6755f53b-e52e-4be5-9c22-1a28d10d2e2e"
"202009","7","10","6755f53b-e52e-4be5-9c22-1a28d10d2e2e"
"202010","18","31","6755f53b-e52e-4be5-9c22-1a28d10d2e2e"
"202011","9","28","6755f53b-e52e-4be5-9c22-1a28d10d2e2e"
"202012","10","24","6755f53b-e52e-4be5-9c22-1a28d10d2e2e"
"202101","6","26","6755f53b-e52e-4be5-9c22-1a28d10d2e2e"
"202006","0","0","71a277e7-87b4-4979-8d11-dbe4ab476554"
"202007","0","0","71a277e7-87b4-4979-8d11-dbe4ab476554"
"202008","0","0","71a277e7-87b4-4979-8d11-dbe4ab476554"
"202009","0","0","71a277e7-87b4-4979-8d11-dbe4ab476554"
"202010","0","0","71a277e7-87b4-4979-8d11-dbe4ab476554"
"202011","14","24","71a277e7-87b4-4979-8d11-dbe4ab476554"
"202012","3","8","71a277e7-87b4-4979-8d11-dbe4ab476554"
"202101","8","14","71a277e7-87b4-4979-8d11-dbe4ab476554"
"202006","13","24","a7bd7e64-d3d8-459a-8906-c4c9c8c704dd"
"202007","8","13","a7bd7e64-d3d8-459a-8906-c4c9c8c704dd"
"202008","1","5","a7bd7e64-d3d8-459a-8906-c4c9c8c704dd"
"202009","9","21","a7bd7e64-d3d8-459a-8906-c4c9c8c704dd"
"202010","19","51","a7bd7e64-d3d8-459a-8906-c4c9c8c704dd"
"202011","11","60","a7bd7e64-d3d8-459a-8906-c4c9c8c704dd"
"202012","12","53","a7bd7e64-d3d8-459a-8906-c4c9c8c704dd"
"202101","13","47","a7bd7e64-d3d8-459a-8906-c4c9c8c704dd"
"202006","0","0","d2b89baa-2d17-4233-a8ba-67083f3b4059"
"202007","0","0","d2b89baa-2d17-4233-a8ba-67083f3b4059"
"202008","0","0","d2b89baa-2d17-4233-a8ba-67083f3b4059"
"202009","0","0","d2b89baa-2d17-4233-a8ba-67083f3b4059"
"202010","30","43","d2b89baa-2d17-4233-a8ba-67083f3b4059"
"202011","16","32","d2b89baa-2d17-4233-a8ba-67083f3b4059"
"202012","11","32","d2b89baa-2d17-4233-a8ba-67083f3b4059"
"202101","10","27","d2b89baa-2d17-4233-a8ba-67083f3b4059"
"202006","0","0","92852b06-afb7-488d-a17c-16ea4c7b0f0f"
"202007","0","0","92852b06-afb7-488d-a17c-16ea4c7b0f0f"
"202008","0","0","92852b06-afb7-488d-a17c-16ea4c7b0f0f"
"202009","0","0","92852b06-afb7-488d-a17c-16ea4c7b0f0f"
"202010","2","4","92852b06-afb7-488d-a17c-16ea4c7b0f0f"
"202011","7","10","92852b06-afb7-488d-a17c-16ea4c7b0f0f"
"202012","3","4","92852b06-afb7-488d-a17c-16ea4c7b0f0f"
"202101","2","4","92852b06-afb7-488d-a17c-16ea4c7b0f0f"
"202006","23","39","25bf270d-b108-4daf-b82a-59f59964b45d"
"202007","10","19","25bf270d-b108-4daf-b82a-59f59964b45d"
"202008","10","12","25bf270d-b108-4daf-b82a-59f59964b45d"
"202009","15","18","25bf270d-b108-4daf-b82a-59f59964b45d"
"202010","19","32","25bf270d-b108-4daf-b82a-59f59964b45d"
