"owner","package_id","dataset_name","resource_id","resource_name"
"dfo-mpo","055052b5-9464-4cba-ba94-4e638900476d","Pacific Circulation Index (Winter)","af7b3c85-16aa-411c-a727-fb6b18a5f798","Pacific Circulation Index (Winter) 1901-2004"
"dfo-mpo","055052b5-9464-4cba-ba94-4e638900476d","Pacific Circulation Index (Winter)","7f77ed65-ceea-463b-9ccd-38bfb5e4634a","Pacific Circulation Index (Winter) 1901-2004"
"cfia-acia","0ba773f6-ab7c-4c93-8de8-d2154209ab35","CFIA-Undeclared Gluten in Infant Foods - 2017-2018","9e60ffce-d3c9-47c4-b4ae-0c00444d686f","CFIA-Undeclared Gluten in Infant Foods - 2017-2018"
"cfia-acia","140340ca-b3f8-455a-979b-54b7f3d541b6","CFIA-Undeclared Allergens and Gluten in Tea and Flavoured Tea - 2018-2019","df67a1c0-ad39-4e14-8553-1da2fce82bfc","CFIA-Undeclared Allergens and Gluten in Tea and Flavoured Tea - 2018-2019"
"cfia-acia","16661c49-be7f-4b7f-837f-02f305f78103","CFIA-Undeclared Allergens in Multi-Ingredient Meat Products - 2017-2018","b02b3d5d-e9ca-43d9-a797-0c8ed061679c","CFIA-Undeclared Allergens in Multi-Ingredient Meat Products - 2017-2018"
"cfia-acia","169ee727-568d-4af0-8c07-f9a9e5795629","CFIA Undeclared Gluten in Gluten-Free Prepackaged Ready-to-Eat Bakery Products - 2017-2018","bca5acac-23af-4034-81e6-4166ea0c0e46","CFIA Undeclared Gluten in Gluten-Free Prepackaged Ready-to-Eat Bakery Products - 2017-2018"
"pc","1767776a-38dc-44b4-a1d7-d919796b0fb0","Salamanders - Kouchibouguac","0a5719c5-8492-4ed9-9b62-2cee1ad7b8d2","Salamanders - Kouchibouguac - Data"
"pc","1767776a-38dc-44b4-a1d7-d919796b0fb0","Salamanders - Kouchibouguac","dae8e8b0-6f39-4412-a8fb-f1c007ad6a5f","Salamanders - Kouchibouguac - Metadata"
"pc","1767776a-38dc-44b4-a1d7-d919796b0fb0","Salamanders - Kouchibouguac","53f61992-c32b-4436-a366-28439a2d5226","Salamanders - Kouchibouguac - Data Dictionnary"
"dnd-mdn","195cca4c-882f-49cd-bae7-1d3cf99c80bd","Promotable Canadian Armed Forces Regular Force Members by Rank","97381d2d-49ad-4633-a2c7-d279a8b4e855","Promotable Canadian Armed Forces Regular Force Members by Rank"
"dnd-mdn","195cca4c-882f-49cd-bae7-1d3cf99c80bd","Promotable Canadian Armed Forces Regular Force Members by Rank","8e586b22-90c3-4967-be8f-5c571eef9106","Promotable Canadian Armed Forces Regular Force Members by Rank"
"pc","1c5afb33-911e-4023-af7b-84df423a43b0","Amphibian Occupancy - Mount Revelstoke","961d886d-f65f-450c-859b-a85f40eb7e85","Amphibian Occupancy - Mount Revelstoke"
"cfia-acia","25eee406-76ed-4618-bd28-4ef3511b28e3","CFIA Undeclared Gluten and Sesame in Salty Snacks and Crackers - 2016-2017","e8f924a4-7481-43a2-a5f5-c028199f3f2e","CFIA Undeclared Gluten and Sesame in Salty Snacks and Crackers - 2016-2017"
"cfia-acia","27a4aea6-c01c-4e40-9d35-4a9f85255710","CFIA Undeclared Hazelnut and Almond in Milk Alternative Products - 2016-2017","e7c7333c-502d-4123-a178-218f05649dfa","CFIA Undeclared Hazelnut and Almond in Milk Alternative Products - 2016-2017"
"tbs-sct","2916fad5-ebcc-4c86-b0f3-4f619b29f412","Open Government Analytics","d22d2aca-155b-4978-b5c1-1d39837e1993","Datasets that have been deleted"
"dfatd-maecd","2af1a7f4-431e-41c7-8c67-fe2348ccf031","COVID-19 Emergency Loan Program","1a70e9ee-5a06-47e8-baf9-6624daa4da7b","COVID-19 Emergency Loan Program"
"dfatd-maecd","2af1a7f4-431e-41c7-8c67-fe2348ccf031","COVID-19 Emergency Loan Program","189952ce-b80e-4fd3-83d3-da3e9641e07e","COVID-19 Emergency Loan Program"
"dfatd-maecd","2af1a7f4-431e-41c7-8c67-fe2348ccf031","COVID-19 Emergency Loan Program","97e8477d-4c1c-4bfb-8eb7-cd9ccfcdb708","COVID-19 Emergency Loan Program 2021-02-01"
"dfatd-maecd","2af1a7f4-431e-41c7-8c67-fe2348ccf031","COVID-19 Emergency Loan Program","bd673a57-a073-4978-842d-8096fbb71baa","COVID-19 Emergency Loan Program 2021-02-01"
"dfatd-maecd","2af1a7f4-431e-41c7-8c67-fe2348ccf031","COVID-19 Emergency Loan Program","9eb24511-2204-4c94-a776-160c261022a6","COVID-19 Emergency Loan Program 2021-03-01"
"dfatd-maecd","2af1a7f4-431e-41c7-8c67-fe2348ccf031","COVID-19 Emergency Loan Program","02c00bd0-19ac-4aca-9328-e52ed362e5d8","COVID-19 Emergency Loan Program 2021-03-01"
"dfatd-maecd","2af1a7f4-431e-41c7-8c67-fe2348ccf031","COVID-19 Emergency Loan Program","0e9be5cf-b27b-4bbb-b964-8ca8ae57b8a1","COVID-19 Emergency Loan Program 2021-04-01"
"dfatd-maecd","2af1a7f4-431e-41c7-8c67-fe2348ccf031","COVID-19 Emergency Loan Program","16cf4112-31d9-4137-950d-c06ecdfe97c3","COVID-19 Emergency Loan Program 2021-04-01"
"dfatd-maecd","2af1a7f4-431e-41c7-8c67-fe2348ccf031","COVID-19 Emergency Loan Program","528d9c26-cc8c-4f98-ac68-2d3b5b918ec8","COVID-19 Emergency Loan Program 2021-05-03"
"dfatd-maecd","2af1a7f4-431e-41c7-8c67-fe2348ccf031","COVID-19 Emergency Loan Program","5131b75c-7cfa-4022-9d9d-b16d602024f7","COVID-19 Emergency Loan Program 2021-05-03"
"dfatd-maecd","2af1a7f4-431e-41c7-8c67-fe2348ccf031","COVID-19 Emergency Loan Program","fdadd2b7-e93f-4808-ac5b-1f597f05a538","COVID-19 Emergency Loan Program 2021-05-31"
"dfatd-maecd","2af1a7f4-431e-41c7-8c67-fe2348ccf031","COVID-19 Emergency Loan Program","bb3263a1-3de3-4870-b9ad-5344008e07d5","COVID-19 Emergency Loan Program 2021-07-08"
"dfatd-maecd","2af1a7f4-431e-41c7-8c67-fe2348ccf031","COVID-19 Emergency Loan Program","b9a3897a-9b55-42b1-a394-ab7335afa134","COVID-19 Emergency Loan Program 2021-07-08"
"dfo-mpo","2c09d2fd-9a8e-4d8c-b5af-95747e36eaac","Fisheries Act Registry","e3ef811f-297e-4cd9-83c4-672575d8c6d8","Data Dictionary and Field Guide"
"pc","2f4e52ca-5e93-49d9-af2d-359eb256019c","Peregrine Falcon - Pukaskwa","97dc38de-148f-4c9b-b2d8-1ba0c8437791","Peregrine Falcon - Pukaskwa - Survey Data"
"pc","2f4e52ca-5e93-49d9-af2d-359eb256019c","Peregrine Falcon - Pukaskwa","6f13bc50-befd-4f12-9812-71318c672991","Peregrine Falcon - Pukaskwa - Data Dictionary"
"pc","2f6efc92-e024-4b55-9aba-e293639d36d6","Streams and Rivers - Water Quality - Pukaskwa","20cd7932-3af0-4c5b-98be-30c38509ff56","Streams and Rivers - Water Quality - Pukaskwa"
"pc","2fc897bd-34e4-4102-afa7-f0a6778a746c","Salmon Thermal Stress - Kouchibouguac","3708ce51-4243-41fa-b146-0a8ae88bff95","Salmon Thermal Stress - Kouchibouguac - Data"
"pc","2fc897bd-34e4-4102-afa7-f0a6778a746c","Salmon Thermal Stress - Kouchibouguac","92682152-8313-4b0a-91f3-02e335dd671f","Salmon Thermal Stress - Kouchibouguac - Data dictionary"
"pc","33b6077e-46b3-4aa4-befb-2426347efca4","Interior Forest Productivity - Pukaskwa","f5c8b1be-6348-4d58-aec2-828e5e08167a","Interior Forest Productivity - Pukaskwa"
"cfia-acia","3addb256-bf80-4469-8fc3-fbd32951c2e0","CFIA Undeclared Allergens in Flavour Packets - 2014-2015","3a18e293-a386-4a1b-ab17-20261fd1db7e","CFIA Undeclared Allergens in Flavour Packets - 2014-2015"
"dfo-mpo","3cafbe89-c98b-4b44-88f1-594e8d28838d","Industry sea lice counts at BC marine finfish aquaculture sites","2a4617cf-a9df-4179-b6c6-39c5ac37e366","Industry sea lice counts at BC marine finfish aquaculture sites, 2011 to 2019"
"dfo-mpo","3cafbe89-c98b-4b44-88f1-594e8d28838d","Industry sea lice counts at BC marine finfish aquaculture sites","f90e5fbf-a4a7-47d9-b5e3-41c84bb9a63a","Industry sea lice counts at BC marine finfish aquaculture sites"
"dfo-mpo","3cafbe89-c98b-4b44-88f1-594e8d28838d","Industry sea lice counts at BC marine finfish aquaculture sites","c28ffea8-8981-483f-be49-fcd3a5cfc6f6","Industry sea lice counts at BC marine finfish aquaculture sites, 2011 to 2019"
"dfo-mpo","3cafbe89-c98b-4b44-88f1-594e8d28838d","Industry sea lice counts at BC marine finfish aquaculture sites","d280d427-5d14-4130-87ab-0b1f06f50ce7","Industry sea lice counts at BC marine finfish aquaculture sites"
"dfo-mpo","3cafbe89-c98b-4b44-88f1-594e8d28838d","Industry sea lice counts at BC marine finfish aquaculture sites","5a42a3fb-3852-4f37-9f08-102cc4b9af9f","Industry sea lice counts at BC marine finfish aquaculture sites, 2020 and ongoing"
"esdc-edsc","477da0bc-a3f8-4054-b7be-3a27a575f413","Canada.ca analytics","1ef8bae8-7657-4c6e-be68-d5b37517d2ee","Canada.ca analytics (with English labels)"
"cfia-acia","49c34283-de88-4fb4-a3fb-af2feb7fb805","CFIA Undeclared Tree Nuts in Products with a Tree Nut Free Claim - 2014-2015","e8239f16-4704-4248-a2ea-1dab3449eaba","CFIA Undeclared Tree Nuts in Products with a Tree Nut Free Claim - 2014-2015"
"cihr-irsc","49edb1d7-5cb4-4fa7-897c-515d1aad5da3","CIHR Grants and Awards","0e99a101-cd8e-4401-8f43-9e117392b744","20. Co-Applicant 202021"
"cihr-irsc","49edb1d7-5cb4-4fa7-897c-515d1aad5da3","CIHR Grants and Awards","42300f81-a00a-4f0f-9ba9-842bb0e1971e","20. Grants and Awards 202021"
"cihr-irsc","49edb1d7-5cb4-4fa7-897c-515d1aad5da3","CIHR Grants and Awards","4ab23322-03f4-431c-bdf2-b456ecc8cbcc","20. Partner 202021"
"dfo-mpo","4bb821ce-bef7-46d3-95d2-064065f1bda4","Aleutian Low Pressure Index","d7406b43-7e64-4dbe-9cf1-b932e88a3a14","Aleutian Low Pressure Index 1900-2015"
"dfo-mpo","4bb821ce-bef7-46d3-95d2-064065f1bda4","Aleutian Low Pressure Index","7f6a25b4-9fb8-45a1-a15c-61669aa06822","Aleutian Low Pressure Index 1900-2015"
"esdc-edsc","4deb7637-3613-4012-84a2-882b06ab7458","Occupational Injuries amongst Employees under Canadian Federal Jurisdiction by Province or Territory : 2008-2019","91f255fd-47dc-4b13-b497-54ccfe8b3911","Occupational Injuries amongst Employees under Canadian Federal Jurisdiction by Province: 2008-2019"
"esdc-edsc","4deb7637-3613-4012-84a2-882b06ab7458","Occupational Injuries amongst Employees under Canadian Federal Jurisdiction by Province or Territory : 2008-2019","a0d9b711-ba83-4748-88bc-543ac6691882","Occupational Injuries amongst Employees under Canadian Federal Jurisdiction by Province: 2008-2019"
"pc","506bfc3b-18e9-4fd1-91e0-48aa9d4ba335","Water Quality - Kouchibouguac","5fd6e060-2097-4a6c-abeb-066ebb26d3c6","Water Quality - Kouchibouguac - Data"
"pc","506bfc3b-18e9-4fd1-91e0-48aa9d4ba335","Water Quality - Kouchibouguac","43426326-efb7-4fad-8ce9-6c5e19972c16","Water Quality - Kouchibouguac - Data dictionary"
"cfia-acia","512d5deb-0f9d-4b05-9d28-aeb418e77e33","CFIA Undeclared Allergens and Gluten in Ready-to-Eat/Heat and Serve Meals - 2016-2017","1bee30a2-4ae7-4819-9352-146253119cfa","CFIA Undeclared Allergens and Gluten in Ready-to-Eat/Heat and Serve Meals - 2016-2017"
"dfo-mpo","522d1b67-30d8-4a34-9b62-5da99b1035e6","Current valid British Columbia aquaculture licence holders","9faa384a-dfde-4f9b-a58f-e24011d5a573","Freshwater BC aquaculture licence holders"
"dfo-mpo","522d1b67-30d8-4a34-9b62-5da99b1035e6","Current valid British Columbia aquaculture licence holders","bcd28be8-d2e9-4051-91a3-e49ed9b04bfd","Freshwater BC aquaculture licence holders "
"dfo-mpo","522d1b67-30d8-4a34-9b62-5da99b1035e6","Current valid British Columbia aquaculture licence holders","0d8dc3ee-655b-4a76-a037-0cb850306918","Shellfish BC aquaculture licence holders "
"dfo-mpo","522d1b67-30d8-4a34-9b62-5da99b1035e6","Current valid British Columbia aquaculture licence holders","6375bf8f-58d5-4b6f-84ee-f851913c975b","Shellfish BC aquaculture licence holders "
"dfo-mpo","522d1b67-30d8-4a34-9b62-5da99b1035e6","Current valid British Columbia aquaculture licence holders","3d4c6597-a020-40cf-ae25-c3ad54fea80e","Freshwater BC aquaculture licence holders "
"dfo-mpo","522d1b67-30d8-4a34-9b62-5da99b1035e6","Current valid British Columbia aquaculture licence holders","00e40f42-22bd-4377-bc94-3bf86c5964c6","Freshwater BC aquaculture licence holders "
"dfo-mpo","522d1b67-30d8-4a34-9b62-5da99b1035e6","Current valid British Columbia aquaculture licence holders","dce02854-cf80-4ef3-be97-ce69aa72cfb9","Marine finfish BC aquaculture licence holders"
"dfo-mpo","522d1b67-30d8-4a34-9b62-5da99b1035e6","Current valid British Columbia aquaculture licence holders","c45c78eb-764e-4bc2-8257-ff30038170bf","Marine finfish BC aquaculture licence holders"
"dfo-mpo","522d1b67-30d8-4a34-9b62-5da99b1035e6","Current valid British Columbia aquaculture licence holders","ba6318da-c495-48bb-bbb8-c32e190a3f89","Salmonid Enhancement Program (SEP) BC Aquaculture Licence Holders"
"dfo-mpo","522d1b67-30d8-4a34-9b62-5da99b1035e6","Current valid British Columbia aquaculture licence holders","a5ffafa8-bdca-4a73-836f-693778c86238","Salmonid Enhancement Program (SEP) BC Aquaculture Licence Holders"
"dfo-mpo","522d1b67-30d8-4a34-9b62-5da99b1035e6","Current valid British Columbia aquaculture licence holders","962489c2-96d2-4830-bed8-f776accf8521","Salmonid Enhancement Program (SEP) BC Aquaculture Licence Holders"
"dfo-mpo","522d1b67-30d8-4a34-9b62-5da99b1035e6","Current valid British Columbia aquaculture licence holders","15af1500-ee81-4bf8-8140-0f98889fd630","Salmonid Enhancement Program (SEP) BC Aquaculture Licence Holders"
"dfo-mpo","522d1b67-30d8-4a34-9b62-5da99b1035e6","Current valid British Columbia aquaculture licence holders","44c359da-e299-408b-a452-5a5fd903d376","Fish stocking BC aquaculture licence holders"
"dfo-mpo","522d1b67-30d8-4a34-9b62-5da99b1035e6","Current valid British Columbia aquaculture licence holders","5d742431-4652-4ddc-9075-9ca0c956cf34","Fish stocking BC aquaculture licence holders"
"dfo-mpo","522d1b67-30d8-4a34-9b62-5da99b1035e6","Current valid British Columbia aquaculture licence holders","a1efde2a-4f64-4d95-9d0e-556cec3b034a","Fish stocking BC aquaculture licence holders"
"dfo-mpo","522d1b67-30d8-4a34-9b62-5da99b1035e6","Current valid British Columbia aquaculture licence holders","ad8e14bc-4dde-4377-bef9-0d9035b3d0d4","Shellfish BC aquaculture licence holders "
"dfo-mpo","522d1b67-30d8-4a34-9b62-5da99b1035e6","Current valid British Columbia aquaculture licence holders","0ba7bd31-557e-4388-92d2-bdf303eb1fd9","Shellfish BC aquaculture licence holders "
"dfo-mpo","522d1b67-30d8-4a34-9b62-5da99b1035e6","Current valid British Columbia aquaculture licence holders","8d8673d9-85f3-4007-8cd3-848eaad6d12e","Marine finfish BC aquaculture licence holders"
"dfo-mpo","522d1b67-30d8-4a34-9b62-5da99b1035e6","Current valid British Columbia aquaculture licence holders","2166b7b8-33cb-4d5c-9d04-ccf650e67aee","Marine finfish BC aquaculture licence holders"
"pc","5a017fad-5179-4830-ac73-6ad7e9216473","Area Burned Condition Class - Mount Revelstoke","473217a9-ff56-4cda-9b8a-b383f164bbe5","Area Burned Condition Class - Mount Revelstoke"
"cfia-acia","5fbddfda-3f4c-4cc2-844c-1a44757d6206","CFIA Undeclared Peanut and Gluten in Cumin and Paprika - 2015-2016","61aa850e-47b5-4de8-8341-f53d14669906","CFIA Undeclared Peanut and Gluten in Cumin and Paprika - 2015-2016"
"cfia-acia","5fea1fec-49e3-4b31-bc0d-8ed806dd8a80","CFIA-Undeclared Milk in Milk Alternative Products - 2018-2019","e1f2aaec-1732-4631-935a-09fddff24785","CFIA-Undeclared Milk in Milk Alternative Products - 2018-2019"
"pc","636454d3-656b-45fc-89f0-1f786f798811","Terrestrial Birds - Revelstoke","3779f214-9570-458b-9b8a-8e9e399abb02","Terrestrial Birds - Revelstoke"
"dfo-mpo","691dd994-4911-433d-b3b6-00349ba9f24e","Escapes of cultured marine finfish from BC aquaculture sites","d9b95ed1-8898-4224-8ef6-bc2065323eea","Escapes of cultured marine finfish from BC aquaculture sites, 2011 ongoing"
"dfo-mpo","691dd994-4911-433d-b3b6-00349ba9f24e","Escapes of cultured marine finfish from BC aquaculture sites","64fa8551-5f3e-4f89-815d-ff96963c3d0e","Escapes of cultured marine finfish from BC aquaculture sites, 2011 ongoing"
"dfo-mpo","691dd994-4911-433d-b3b6-00349ba9f24e","Escapes of cultured marine finfish from BC aquaculture sites","7b757cdc-ed8d-430f-bac3-284460eba30b","Escapes of cultured marine finfish from BC aquaculture sites, 2011 ongoing"
"pc","6c644bdd-aaa2-47c5-991a-f0c42b87bccf","Wolf - Pukaskwa","fe52e8cb-2760-4d42-b221-d02d55de57b7","Wolf - Pukaskwa - Survey Data (Wildlife Camera)"
"pc","6c644bdd-aaa2-47c5-991a-f0c42b87bccf","Wolf - Pukaskwa","db9e096b-3413-4f0c-bbc6-798e96d465bd","Wolf - Pukaskwa - Data Dictionary"
"dfo-mpo","6e97f406-c893-431a-96d3-3976490dd7bb","Fraser River Flows","60f78449-b4c1-4b2f-96bd-47f960dd08a0","Fraser River Flows 1912-1999"
"dfo-mpo","6e97f406-c893-431a-96d3-3976490dd7bb","Fraser River Flows","2a0f29eb-5a7d-4fae-81b9-84248263f231","Fraser River Flows 1912-1999"
"cnsc-ccsn","6ed50cd9-0d8c-471b-a5f6-26088298870e","Radionuclide Release Datasets","558315be-dd96-409e-9f36-cd6295557e5a","Radionuclide Releases - Nuclear Power Plants"
