"owner","package_id","dataset_name","resource_id","resource_name"
"cbsa-asfc","000fe5aa-1d77-42d1-bfe7-458c51dacfef","Historical Border Wait Times – Land Mode","2b5853e4-41b4-4858-86dd-38012e30d5b8","Historical Border Wait Times - 2019-04-01 to 2025-06-30"
"cbsa-asfc","000fe5aa-1d77-42d1-bfe7-458c51dacfef","Historical Border Wait Times – Land Mode","c38762fc-3185-4cc7-9669-89ae2f9b5069","Historical Border Wait Time - 2019-04-01 to 2025-06-30"
"psc-cfp","00887ede-ac6b-47c1-af0c-aea61f2be345","Public Service Commission (PSC) Departmental Results Framework Indicators","15dffa94-0066-493a-808b-377cfa6e5c34","Indicator I1 – Number of Days to complete an external staffing process"
"psc-cfp","00887ede-ac6b-47c1-af0c-aea61f2be345","Public Service Commission (PSC) Departmental Results Framework Indicators","78eda841-ae3f-4235-a517-2a9b6ed48bb5","Indicator I9 – Percentage of new hires under the age of 35"
"psc-cfp","00887ede-ac6b-47c1-af0c-aea61f2be345","Public Service Commission (PSC) Departmental Results Framework Indicators","1f079599-21e4-4e34-be00-228e57976506","Indicator I11 – Percentage of new hires who applied from outside the National Capital Region"
"tbs-sct","009f9a49-c2d9-4d29-a6d4-1a228da335ce","Proactive Disclosure - Travel Expenses","8282db2a-878f-475c-af10-ad56aa8fa72c","Proactive Disclosure - Travel Expenses"
"tbs-sct","009f9a49-c2d9-4d29-a6d4-1a228da335ce","Proactive Disclosure - Travel Expenses","d3f883ce-4133-48da-bc76-c6b063d257a2","Proactive Disclosure - Travel Expenses Nothing to Report"
"csa-asc","0176458c-553b-48b4-a5e2-492022c81e85","The Geospace Observatory (GO) Canada Initiative","b335e213-16e9-4755-8125-a22b55319cb5","GO_Canada_Carte_Data_FR"
"csa-asc","0176458c-553b-48b4-a5e2-492022c81e85","The Geospace Observatory (GO) Canada Initiative","8d5b21aa-f5b6-4586-9b2b-5ac44779b66a","GO_Canada_Map_Data_EN"
"esdc-edsc","01c0f9da-f52d-4436-9899-f375b905e481","Canadian Citizen and Permanent Resident Workforce Population by Designated Groups, Employment Equity Occupational Groups and National Occupational Classification Unit Groups","2f76d34f-308d-48aa-b851-70df5108d3a0","Canadian Citizen and Permanent Resident Workforce Representation by 4 Designated Groups by Canada, Provinces, Territories and Census Metropolitan Areas"
"esdc-edsc","01c0f9da-f52d-4436-9899-f375b905e481","Canadian Citizen and Permanent Resident Workforce Population by Designated Groups, Employment Equity Occupational Groups and National Occupational Classification Unit Groups","118738d9-482a-4415-afab-03d25111831a","Canadian Citizen and Permanent Resident Workforce Representation by 4 Designated Groups by Canada, Provinces, Territories and Census Metropolitan Areas"
"esdc-edsc","01c0f9da-f52d-4436-9899-f375b905e481","Canadian Citizen and Permanent Resident Workforce Population by Designated Groups, Employment Equity Occupational Groups and National Occupational Classification Unit Groups","c1a6fb7c-8f89-4e0a-8c19-20deb2886e0f","Canadian Citizen and Permanent Resident Workforce Population by 3 Designated Groups, Employment Equity Occupational Groups and National Occupational Classification Unit Groups "
