"year","month","id","title_en","title_fr","owner_org","org_name","pageviews"
2022,9,"000183ed-8864-42f0-ae43-c4313a860720","Principal Mineral Areas, Producing Mines, and Oil and Gas Fields (900A)","Principales régions minières, principales mines productrices, principaux champs de pétrole et de gaz (900A)","nrcan-rncan","Natural Resources Canada | Ressources naturelles Canada",3
2022,9,"0005301b-624e-4000-8dad-a1a1ac6b46c2","Land Surface Evapotranspiration for Canada's Landmass","Évapotranspiration de la surface terrestre continentale du Canada","nrcan-rncan","Natural Resources Canada | Ressources naturelles Canada",2
2022,9,"005494f2-1848-48d5-abe4-a76a7846f035","Canadian Weather Energy and Engineering Datasets (CWEEDS)","Fichiers météorologiques canadiens pour l'énergie et le génie (FMCEG)","nrcan-rncan","Natural Resources Canada | Ressources naturelles Canada",3
2022,9,"0083baf1-8145-4207-a84f-3d85ef2943a5","Steller sea lion (Eumetopias jubatus) counts and haulout locations across the British Columbia coast","Dénombrements et emplacements des échoueries des otaries de Steller (Eumetopias jubatus) sur l’ensemble de la côte de la Colombie-Britannique.","dfo-mpo","Fisheries and Oceans Canada | Pêches et Océans Canada",1
2022,9,"01164c08-450c-4d66-8291-1ba018f2fc1c","Road Point Events","Événements Road Point","ab","Government of Alberta | Gouvernement de l'Alberta",1
2022,9,"012fae15-282b-44c9-ad82-0978efea211c","Important Areas for Geography in Strait of Georgia Ecoregion","Zones importantes pour les caractéristiques géographiques dans l’écorégion du détroit de Georgia","dfo-mpo","Fisheries and Oceans Canada | Pêches et Océans Canada",3
2022,9,"023f39b6-feb0-4c62-b9d3-cb3050d657d9","Nurse Practitioner Led Clinic (NPLC) locations","Emplacement des cliniques dirigées par du personnel infirmier praticien (CPIP)","on","Government of Ontario | Gouvernement de l'Ontario",2
2022,9,"028d4791-1241-437a-9f7b-fdf08b0d6dfb","Wildlife Management Units","Unités de gestion faunique","bc-cb","Government of British Columbia | Gouvernment de la Colombie-Britannique",14
2022,9,"02b9fc39-cd07-46ed-a413-42257e7ad717","Canada Coast Guard Regions","Régions de la Garde côtière canadienne","dfo-mpo","Fisheries and Oceans Canada | Pêches et Océans Canada",3
2022,9,"02bf1fca-2fda-11e9-a466-1860247f53e3","Fish Biodiversity Database","Base de données sur la biodiversité des poissons","dfo-mpo","Fisheries and Oceans Canada | Pêches et Océans Canada",5
2022,9,"02eea9bc-fe27-4100-997c-acaef98a7e2f","Terrestrial Protected Areas Representation by Biogeoclimatic Zone","Représentation des aires terrestres protégées par zone biogéoclimatique","bc-cb","Government of British Columbia | Gouvernment de la Colombie-Britannique",1
2022,9,"02fd8f1b-d5d5-6073-e107-28c038ddcc9c","MODIS 10-daily composite surface albedo time series of Canada - Revision 0","MODIS 10 jours composite albédo de la surface séries chronologiques du Canada - Révision 0","nrcan-rncan","Natural Resources Canada | Ressources naturelles Canada",1
2022,9,"048be9da-d9ea-48d3-b9b3-9dda4849a5d8","Surface Water Quality, Oil Sands Region","Qualité de l'eau de surface, Région des sables bitumineux","ec","Environment and Climate Change Canada | Environnement et Changement climatique Canada",2
2022,9,"0512c61d-10bd-45bb-baad-ad1b75ea9f42","2021-22 Grants and Contributions","Subventions et contributions 2021-22","nrc-cnrc","National Research Council Canada | Conseil national de recherches Canada",5
2022,9,"055919c2-101e-4329-bfd7-1d0c333c0e62","Indexes of the National Topographic System of Canada","Index du système national de référence cartographique du Canada","nrcan-rncan","Natural Resources Canada | Ressources naturelles Canada",299
2022,9,"05d5f46a-7f19-11ea-8a4e-1860247f53e3","Benthic invertebrates in seagrass and bare soft sediments in Atlantic Nova Scotia","Invertébrés benthiques dans les herbiers marins et les sédiments mous nus dans l'Atlantique de la Nouvelle-Écosse","dfo-mpo","Fisheries and Oceans Canada | Pêches et Océans Canada",1
2022,9,"063ee9b6-b3f2-45ab-9bed-d330880064d5","Gross and effective drainage area boundaries of the AAFC Watersheds project - 2013","Limites des superficies brutes et effectives des bassins hydrographiques du Projet des bassins hydrographiques d’AAC (2013)","aafc-aac","Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada",2
2022,9,"06b6837e-7632-46f3-8052-4f1a7c123c5d","BCGS 1:50,000 Grid","Grille BCGS 1:50 000","bc-cb","Government of British Columbia | Gouvernment de la Colombie-Britannique",1
2022,9,"071ebbeb-dc44-4cfc-a965-0eec1d54b0a3","Independent Health Facility (IHF) locations","Emplacement des établissements de santé autonomes (ESA)","on","Government of Ontario | Gouvernement de l'Ontario",1
2022,9,"075903eb-d067-473f-b084-085c5e8bf1eb","Shellfish Water Classification Program – Shellfish Harvest Area Classification in British Columbia","Programme de Classification des Eaux Coquillières – Classification des zones de récolte des mollusques en Colombie-Britannique","ec","Environment and Climate Change Canada | Environnement et Changement climatique Canada",1
2022,9,"07875f11-c342-4450-bdaa-0cdeaf43c0c9","Crop (corn) heat units","Unités thermiques de croissance (maïs)","aafc-aac","Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada",40
2022,9,"07fc840d-69de-4d23-af0d-51d6df042d8a","Crop Stress Index","Indice de stress des cultures","aafc-aac","Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada",2
2022,9,"08746031-1970-4bf6-b6d4-3de2715c8634","Estimates of anthropogenic nitrogen loading and eutrophication indicators for the Bay of Fundy and Scotian Shelf","Estimations de la charge d'azote anthropique et des indicateurs d'eutrophisation pour la baie de Fundy et le plateau néo-écossais","dfo-mpo","Fisheries and Oceans Canada | Pêches et Océans Canada",2
2022,9,"08966d49-4290-4431-aad8-4f25aed7c42d","Important Areas for Invertebrates in West Coast Vancouver Island Ecoregion","Zones importantes pour les invertébrés dans l’écorégion de la côte ouest de l’île de Vancouver","dfo-mpo","Fisheries and Oceans Canada | Pêches et Océans Canada",7
2022,9,"09051eee-c28a-4746-8033-8e85815f4c73","North Coast of British Columbia Shoreline Classification","Classification du rivage du Nord de la Colombie-Britannique","ec","Environment and Climate Change Canada | Environnement et Changement climatique Canada",1
2022,9,"092130fc-7eed-480e-9dee-f0c564ba11df","Ecozones","Écozones","on","Government of Ontario | Gouvernement de l'Ontario",2
2022,9,"093e437e-ee35-fd32-7da0-807848ec5d64","Seabed grain size analyses, offshore Canada","Analyses granulométriques des fonds marins, au large du Canada","nrcan-rncan","Natural Resources Canada | Ressources naturelles Canada",5
2022,9,"0a14b357-8a89-6e98-720e-3a800022cb99","High Resolution Satellite Imagery","Imagerie satellite haute résolution","yk","Government of Yukon | Gouvernement du Yukon",5
2022,9,"0a17e8fe-4021-4815-95ee-245de40b97ac","False Rue-anemone (Enemion biternatum) - Critical Habitat for Species at Risk - Ontario","Isopyre à feuilles biternées (Enemion biternatum) - Habitat essentiel des espèces en péril - Ontario","ec","Environment and Climate Change Canada | Environnement et Changement climatique Canada",1
2022,9,"0a309f2c-4f11-4ddb-bce1-e7ba6f8c20cf","Stories from the land: Indigenous Place Names in Canada","Récits du territoire : noms de lieux autochtones au Canada","nrcan-rncan","Natural Resources Canada | Ressources naturelles Canada",13
2022,9,"0a469551-8e68-41b8-8a00-20d708d5d3a2","Metis Settlement","Colonie des Métis","ab","Government of Alberta | Gouvernement de l'Alberta",2
2022,9,"0aba5888-8985-49a9-8d69-83513b60dbc2","Base Hydrography Point Update","Mise à jour du point d'hydrographie","ab","Government of Alberta | Gouvernement de l'Alberta",1
2022,9,"0b0bbc5b-b0fa-4101-8e31-05e3c52bbd7b","Municipal parks","Parcs municipaux","on","Government of Ontario | Gouvernement de l'Ontario",3
2022,9,"0b229ec0-da50-4b29-88da-49c85a5944e2","BC Wild Mountain Sheep Registry - Distribution","Registre des moutons des montagnes sauvages de la Colombie-Britannique - Distribution","bc-cb","Government of British Columbia | Gouvernment de la Colombie-Britannique",1
2022,9,"0b7194a2-983b-4837-b9a9-5e8e8a3ba66b","Horsetail Spike-rush (Eleocharis equisetoides) - Critical Habitat for Species at Risk - Ontario","Éléocharide fausse-prêle (Eleocharis equisetoides) - Habitat essentiel des espèces en péril - Ontario","ec","Environment and Climate Change Canada | Environnement et Changement climatique Canada",3
2022,9,"0b88062f-ebbe-46c6-ab19-54fd226e9aa7","Soil Texture by Ecodistrict","Texture du sol par l'écodistrict","aafc-aac","Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada",3
2022,9,"0cc8d2f0-da27-44cf-be66-9dceffe82e1e","Virginia Goat's-rue (Tephrosia virginiana) - Critical Habitat for Species at Risk - Ontario","Téphrosie de Virginie (Tephrosia virginiana) - Habitat essentiel des espèces en péril - Ontario","ec","Environment and Climate Change Canada | Environnement et Changement climatique Canada",2
2022,9,"0d206ba7-1d8a-4480-b735-301dcd5c2483","Combined Sewer Overflow points - Wastewater Systems Effluent Regulations","Points de débordement des égouts unitaires - Règlement sur les effluents des systèmes d’assainissement des eaux usées","ec","Environment and Climate Change Canada | Environnement et Changement climatique Canada",7
2022,9,"0d9de0d6-9873-4a8c-adc7-0e94d51b3fa0","List of the presence of a flood zone identified by the MRCs","Grille de présence de zone inondable identifiée par les MRC","qc","Government and Municipalities of Québec | Gouvernement et municipalités du Québec",1
2022,9,"0db67020-7521-4356-bd53-3132cb7804a3","Lake sturgeon breeding, feeding and concentration areas in the fluvial section and Estuary of St. Lawrence","Aires de reproduction, d'alimentation et de concentration de l'esturgeon jaune dans le fleuve et l'estuaire du Saint-Laurent","dfo-mpo","Fisheries and Oceans Canada | Pêches et Océans Canada",1
2022,9,"0e5dc74b-380c-433d-bdce-e3cd06effab3","Difference in fire season length - Long-term (2071-2100) under RCP 8.5 compared to reference period","Différence dans la durée de la saison des feux  - Long terme (2071-2100) selon le RCP 8.5 par rapport à la période de référence","nrcan-rncan","Natural Resources Canada | Ressources naturelles Canada",1
2022,9,"0ed37cd6-d831-4183-bf43-b05e29570298","Polling Division Boundaries - Canada 2021","Limites de section de vote - Canada 2021","elections","Elections Canada | Élections Canada",35
2022,9,"0f45b62a-b4f6-4eaa-ad84-2fca80108d0b","The Canadian Radiological Monitoring Network – Tritium in Drinking Water","Réseau canadien de surveillance radiologique – Le tritium dans l'eau potable","hc-sc","Health Canada | Santé Canada",1
2022,9,"0f66aa0a-c6c4-4a8c-a596-9425b177a5b0","Asian Longhorned Beetle Regulated Areas","Lieux réglementés à l'égard du longicorne asiatique","cfia-acia","Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments",1
2022,9,"0fca08b5-e9d0-414b-a3c4-092ff9c5e326","Shellfish Water Classification Program – Marine Water Quality Data in Nova Scotia","Programme de Classification des Eaux Coquillières – Données de la qualité des eaux marines en Nouvelle-Écosse","ec","Environment and Climate Change Canada | Environnement et Changement climatique Canada",2
2022,9,"0fe65119-e96e-4a57-8bfe-9d9245fba06b","High Resolution Digital Elevation Model Mosaic (HRDEM Mosaic) - CanElevation Series","Mosaïque du Modèle numérique d'élévation de haute résolution (Mosaïque MNEHR) - Série CanÉlévation","nrcan-rncan","Natural Resources Canada | Ressources naturelles Canada",88
2022,9,"1030ed22-2fa3-42f5-b26f-b27a7b167159","Diversity, Richness, and Biomass Hotspots","Points chauds pour la diversité, la richesse et la biomasse","dfo-mpo","Fisheries and Oceans Canada | Pêches et Océans Canada",2
2022,9,"10801c67-7f18-4ea1-bda7-8962abfc5578","Federal Electoral Districts - Canada 2013","Circonscriptions fédérales - Canada 2013","elections","Elections Canada | Élections Canada",1
2022,9,"108b3df4-f24f-4a75-868d-315c563d029c","Radionuclide Releases - Canadian Nuclear Laboratories / Direct Discharge","Rejets de radionucléides - Laboratoires Nucléaires Canadiens / Évacuations directes","cnsc-ccsn","Canadian Nuclear Safety Commission | Commission canadienne de sûreté nucléaire",2
2022,9,"10987662-c496-4ba8-a6b9-21cb5a134da2","Bottom water temperature and salinity in the Estuary and Gulf of St.Lawrence","Température et salinité au fond dans l'estuaire et le golfe du St-Laurent","dfo-mpo","Fisheries and Oceans Canada | Pêches et Océans Canada",2
2022,9,"10b1b187-1ef5-421f-8aa2-f716379fdb99","Range Tenure","Tenure de la gamme","bc-cb","Government of British Columbia | Gouvernment de la Colombie-Britannique",5
2022,9,"10eda2e9-3eb4-4915-ba97-25121f462b25","Piping Plover (Charadrius melodus melodus) – Critical Habitat for Species at Risk – Atlantic Canada (Nova Scotia, New Brunswick, Prince Edward Island, Newfoundland and Labrador)","Pluvier siffleur (Charadrius melodus melodus) – Critical Habitat d’espèces en péril – Canada Atlantique (Nouvelle-Écosse, Nouveau-Brunswick, Île-du-Prince-Édouard, Terre-Neuve-et-Labrador)","ec","Environment and Climate Change Canada | Environnement et Changement climatique Canada",1
2022,9,"11277e35-d8be-47e4-bb1f-c38e393179c6","Landscape Units of British Columbia - Current","Unités paysagères de la Colombie-Britannique - Actuel","bc-cb","Government of British Columbia | Gouvernment de la Colombie-Britannique",1
2022,9,"1130248f-f1a3-4956-8b2e-38d29d3e4af7","BC Parks, Ecological Reserves, and Protected Areas","Parcs, réserves écologiques et aires protégées de la Colombie-Britannique","bc-cb","Government of British Columbia | Gouvernment de la Colombie-Britannique",2
2022,9,"1162f2bf-6a89-4432-b598-7763378cd552","NTS Grid 1:20 000","Grille NTS 1:20 000","ab","Government of Alberta | Gouvernement de l'Alberta",1
2022,9,"12acd145-626a-49eb-b850-0a59c9bc7506","The Canadian Radiological Monitoring Network – Strontium-90 in Milk","Réseau canadien de surveillance radiologique – Le strontium 90 dans le lait","hc-sc","Health Canada | Santé Canada",1
2022,9,"1318c39f-74ca-4f8a-b81c-95e1694553eb","Nunavut ringed seal monitoring","Surveillance du phoque annelé au Nunavut","dfo-mpo","Fisheries and Oceans Canada | Pêches et Océans Canada",1
