"owner_org","ati","ati_nil","contracts","contracts_nil","contracts_a","grants","grants_nil","reclass","relass_nil","travel_a","travel_q","travel_nil","hospitiality","hospitiality_nil","dac","bn","qp_notes","wrong_doing"
"aafc-aac",158,0,10850,0,4,10167,0,203,1,6,1010,3,15,34,44,1563,47,0
"aandc-aadnc",245,7,3607,1,0,18159,0,94,9,2,789,0,118,0,54,2672,200,0
"acoa-apeca",60,0,440,0,3,24603,0,175,7,0,2337,0,209,0,0,338,0,0
"aecl-eacl",23,8,0,0,0,0,0,0,0,0,868,0,115,0,0,0,0,0
"apfc-fapc",2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"atssc-scdata",22,10,822,0,5,0,0,86,0,0,416,0,156,0,0,37,0,0
"bdc",17,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cannor",34,5,74,1,3,1357,0,6,7,6,68,21,12,35,0,224,3,1
"cas-satj",0,0,1358,0,4,0,0,6,0,0,233,2,114,15,39,0,0,0
"casdo-ocena",7,1,50,0,0,42,0,0,0,2,25,19,1,23,0,9,0,0
"catsa-acsta",14,17,0,0,0,0,0,0,0,6,879,22,445,20,0,0,0,0
"cbsa-asfc",715,0,6892,0,4,0,0,138,11,8,590,21,302,30,48,408,0,1
"cca-cac",9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ccc",5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ccohs-cchst",11,14,121,0,1,0,0,0,0,5,110,23,26,39,0,2,0,0
"cdc-ccl",0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0
"cdev",13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cdic-sadc",9,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ced-dec",53,7,1782,0,3,12858,0,69,1,10,2786,19,765,25,0,378,9,0
"ceefc-cfuec",2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"celd",0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cer-rec",44,5,1203,1,5,243,2,0,0,6,159,18,85,13,0,599,0,0
"cfia-acia",333,0,3139,0,4,30,8,7,0,0,307,22,250,23,50,263,0,0
"cgc-ccg",6,13,657,1,3,0,0,17,13,2,101,19,35,22,26,227,0,0
"chhc-sgch",0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"chrc-ccdp",37,6,416,0,4,0,0,18,10,3,282,5,1,11,0,206,0,0
"cib-bic",27,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cic",2343,0,10566,0,4,13461,0,1519,0,0,1479,13,539,19,56,1835,64,1
"cics-scic",0,0,107,0,4,0,0,0,2,3,7,41,1,50,0,0,0,0
"cihr-irsc",46,4,1100,0,5,27686,0,20,1,11,724,22,366,24,44,539,0,0
"cmc-mcc",9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cmhc-schl",160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cmip-mciq",0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cnlopb",9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cnsc-ccsn",265,0,1149,0,4,424,0,0,0,0,255,2,97,4,44,653,0,0
"cnsopb",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cpc-cpp",16,10,175,0,1,0,0,25,16,0,54,9,38,11,0,12,0,0
"cra-arc",415,0,36372,0,4,803,17,307,6,7,4253,6,1006,18,0,1015,39,1
"crtc",84,1,546,0,0,0,9,21,6,2,357,14,21,20,0,127,0,0
"csa-asc",94,4,2182,0,4,941,0,10,11,5,337,10,62,25,42,101,0,0
"csc-scc",510,0,34660,0,4,166,4,199,4,4,1359,16,65,22,44,620,0,0
"csec-cstc",21,8,0,0,0,0,0,0,0,0,0,0,0,0,0,211,0,0
"csis-scrs",254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515,0,0
"csps-efpc",46,7,600,0,4,0,0,43,9,0,67,19,91,20,0,175,0,0
"cstm-mstc",5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cta-otc",93,0,427,0,3,0,0,6,21,5,113,23,12,41,0,150,0,0
"dcc-cdc",10,16,0,0,0,0,0,0,0,0,96,5,21,9,0,0,0,0
"dfatd-maecd",829,0,57977,0,4,9971,0,438,0,9,0,0,0,0,57,5883,154,7
"dfo-mpo",810,0,82934,0,4,11387,0,224,3,11,1340,7,277,20,46,2511,369,0
"dnd-mdn",1085,0,257649,0,4,367,4,1060,0,10,3056,64,1190,46,56,2451,52,6
"dpm-vpm",0,0,0,0,0,0,0,0,0,0,18,7,0,12,0,32,0,0
"ec",265,0,57937,0,4,5752,0,479,0,11,1040,2,255,11,64,2143,119,1
"edc",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"elections",79,2,1814,0,4,0,0,32,5,0,27,19,9,27,0,653,0,0
"erc-cee",0,19,14,5,0,0,0,0,3,0,15,35,1,32,0,0,0,0
"esdc-edsc",780,0,31660,0,5,203827,0,41,5,11,10998,0,3308,0,57,3507,149,3
"fbcl-spfl",3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fcac-acfc",27,9,1140,0,4,0,0,0,0,7,490,28,169,31,0,57,0,0
"feddevontario",114,0,885,0,4,2815,0,21,43,4,1553,20,146,29,0,332,0,0
"fednor",0,0,0,0,0,341,0,0,0,0,0,0,0,0,0,0,3,0
"fin",701,1,3824,0,4,138,1,7,14,6,6507,0,633,0,44,2227,7,0
"fintrac-canafe",73,4,916,0,2,0,0,0,0,0,491,24,715,30,0,150,0,0
"fja-cmf",0,0,465,0,4,0,0,9,14,4,27,25,43,17,0,0,0,0
"fntc-cfpn",0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fpcc-cpac",1,1,29,8,3,2,19,2,18,4,146,16,65,22,0,3,0,0
"fraidg-ciafimd",1,21,0,0,0,0,0,0,0,0,0,15,0,15,0,0,0,0
"ghl-lgc",0,0,0,0,0,0,0,0,0,0,17,6,0,12,0,60,0,0
"glpa-apgl",1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hc-sc",2178,0,8491,0,4,1015,0,455,0,0,576,9,159,17,60,1701,193,0
"iaac-aeic",71,0,989,0,0,2158,0,24,55,0,94,19,18,24,0,431,0,0
"ic",1071,0,7598,0,3,2255,1,233,3,5,3685,0,429,4,48,4358,67,1
"iga-aig",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0
