"org_list$result$display_name","org_list$result$name","org_list$result$created"
"2875039 Canada Limited | 2875039 Canada Limited","2canl","2018-07-27T18:49:16.263321"
"3906949 Canada Inc. | 3906949 Canada Inc.","3can","2018-07-27T18:49:16.866334"
"3Net Indy Holdings | 3Net Indy Holdings","3nih","2018-07-27T18:49:18.062160"
"3Net Indy Investments Inc. | 3Net Indy Investments Inc.","3nii","2018-07-27T18:49:40.652136"
"7986386 Canada Inc. | 7986386 Canada Inc.","7can","2018-07-27T18:49:18.486377"
"8599963 Canada Inc. | 8599963 Canada Inc.","8can","2018-07-27T18:49:18.940870"
"Accessibility Standards Canada | Normes d’accessibilité Canada","casdo-ocena","2019-12-11T15:05:57.550923"
"Administrative Tribunals Support Service of Canada | Service canadien d'appui aux tribunaux administratifs","atssc-scdata","2016-09-14T11:47:14.032039"
"Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada","aafc-aac","2016-09-14T11:47:12.325334"
"Argentia Private Investments Inc. | Argentia Private Investments Inc.","api","2018-07-27T18:49:19.373301"
"Asia-Pacific Foundation of Canada | Fondation Asie Pacifique du Canada","apfc-fapc","2016-09-14T11:47:13.629822"
"Assisted Human Reproduction Canada | Procréation Assistée Canada","ahrc-pac","2016-09-14T11:47:13.222146"
"Atlantic Canada Opportunities Agency | Agence de promotion économique du Canada atlantique","acoa-apeca","2016-09-14T11:47:12.815546"
"Atlantic Pilotage Authority Canada | Administration de pilotage de l'Atlantique Canada","apa","2016-09-14T11:47:13.423361"
"Atomic Energy of Canada Limited | Énergie atomique du Canada, Limitée","aecl-eacl","2016-09-14T11:47:13.020266"
"AviAlliance Canada Inc. | AviAlliance Canada Inc.","aac","2018-07-27T18:49:19.782979"
"AviAlliance Terminal Management Inc. | AviAlliance Terminal Management Inc.","atm","2018-07-27T18:49:41.136268"
"Bank of Canada | Banque du Canada","bc","2016-09-14T11:47:14.248557"
"BDC Capital Inc. | BDC Capital Inc.","bci","2018-07-27T18:49:13.181425"
"Belle Bay Private Investments Inc. | Belle Bay Private Investments Inc.","bbpi","2018-07-27T18:49:20.363217"
"Blue & Gold Private Investments Inc. | Blue & Gold Private Investments Inc.","bgpi","2018-07-27T18:49:20.755251"
"Blue Water Bridge Canada | Pont Blue Water Canada","bwbc-pbwc","2016-09-14T11:47:14.693411"
"British Columbia Treaty Commission | Commission des Traités de la Colombie-Britannique","bctc-ctcb","2018-08-20T20:33:09.287172"
"Business Development Bank of Canada | Banque de développement du Canada","bdc","2016-09-14T11:47:14.475040"
"Canada Agricultural Review Tribunal | Commission de révision agricole du Canada","cart-crac","2018-10-16T20:14:06.142246"
"Canada Border Services Agency | Agence des services frontaliers du Canada","cbsa-asfc","2016-09-14T11:47:16.227070"
"Canada Council for the Arts | Conseil des arts du Canada","cca-cac","2016-09-14T11:47:16.452167"
"Canada Deposit Insurance Corporation | Société d'assurance-dépôts du Canada","cdic-sadc","2016-09-14T11:47:17.745660"
"Canada Development Investment Corporation | Corporation de développement des investissements du Canada","cdev","2016-09-14T11:47:17.531041"
"Canada Economic Development for Quebec Regions | Développement économique Canada pour les régions du Québec","ced-dec","2016-09-14T11:47:18.173391"
"Canada Eldor Inc. | Canada Eldor Inc.","celd","2018-07-27T18:49:13.671159"
"Canada Emission Reduction Incentives Agency | Agence canadienne pour l'incitation à la réduction des émissions","ceria-acire","2016-09-14T11:47:18.805738"
"Canada Employment Insurance Commission | Commission de l’assurance-emploi du Canada","ceic-caec","2016-09-14T11:47:18.396825"
"Canada Employment Insurance Financing Board | Office de financement de l'assurance-emploi du Canada","ceifb-ofaec","2016-09-14T11:47:18.607769"
"Canada Energy Regulator | La Régie de l’énergie du Canada","cer-rec","2016-09-14T11:47:35.383608"
"Canada Enterprise Emergency Funding Corporation | La Corporation de financement d’urgence d’entreprises du Canada ","ceefc-cfuec","2021-01-07T18:20:49.600903"
"Canada Foundation for Innovation | Fondation canadienne pour l’innovation","innovation","2016-09-14T11:47:31.885563"
"Canada GEN Investment Corporation | Corporation d'investissements GEN du Canada","cgic-cgc","2018-07-27T18:49:14.264975"
"Canada Hibernia Holding Corporation | Société de gestion Canada Hibernia","chhc-sgch","2018-07-27T18:49:14.640228"
"Canada Housing Trust | Fiducie du Canada pour l'habitation","cht-fcpl","2018-07-27T18:49:15.696515"
"Canada Industrial Relations Board | Conseil canadien des relations industrielles","cirb-ccri","2016-09-14T11:47:20.503879"
"Canada Infrastructure Bank | La Banque de l’infrastructure du Canada","cib-bic","2018-04-23T13:53:02.031357"
"Canada Lands Company CLC Limited | Société immobilière du Canada CLC limitée","clccl-siccl","2018-07-27T18:49:15.129031"
"Canada Lands Company Limited | Société immobilière du Canada Limitée","clcl-sicl","2016-09-14T11:47:20.951088"
"Canada Mortgage and Housing Corporation | Société canadienne d'hypothèques et de logement","cmhc-schl","2016-09-14T11:47:21.365500"
"Canada-Newfoundland and Labrador Offshore Petroleum Board | Office Canada–Terre-Neuve-et Labrador des hydrocarbures extracôtiers","cnlopb","2016-09-14T11:47:22.438828"
"Canada-Nova Scotia Offshore-Petroleum Board | Office Canada-Nouvelle-Écosse des hydrocarbures extracôtiers","cnsopb","2016-09-14T11:47:23.047487"
"Canada Pension Plan Investment Board | L’Office d’investment du Régime de pensions du Canada","cppib-oirpc","2018-04-23T13:56:11.146967"
