"","ID","org","collection","freq","jurisdiction","date_created","date_last_mod","type"
"1","0062e0f5-4c66-4886-9087-3e80e3b23a92","qc","federated","P1M","provincial","2020-09-03T15:13:59.881867","2021-03-10T10:00:02.695978","dataset"
"2","0085f7eb-c87c-4d5f-962b-b8866be3b0f7","on","federated","unknown","provincial","2021-01-27T15:44:33.071289","2021-01-28T16:45:37.111920","dataset"
"3","00e1944e-ae14-4ca8-a0c0-4097b4d9c09e","qc","federated","irregular","municipal","2020-09-03T15:14:09.448644","2021-02-01T14:26:51.303332","dataset"
"4","010c8dd5-592b-40b5-b5d4-77a8ed903e42","qc","federated","P1M","provincial","2020-09-03T15:14:17.668291","2021-03-24T10:00:02.980549","dataset"
"5","011ff922-fb26-4edc-9474-f10acf410dbc","nrcan-rncan","primary","P1Y","federal","2020-12-03T19:11:40.536845","2020-12-21T16:50:49.622191","dataset"
"6","015ac5c3-9b56-4f5e-b245-bb0f4296f680","qc","federated","P1D","provincial","2020-09-03T15:14:28.614998","2021-02-01T14:27:02.882005","dataset"
"7","01742c1e-4d99-485c-a2a4-c51163da542f","on","federated","P1Y","provincial","2021-01-27T15:44:41.527922","2021-01-28T16:45:39.163924","dataset"
"8","019a1446-89f4-41be-ab52-44fc12c31170","qc","federated","irregular","municipal","2020-09-03T15:14:38.323663","2021-03-17T10:00:03.507125","dataset"
"9","01c12f93-d14c-4005-b671-e40030a3aa2c","hc-sc","primary","not_planned","federal","2021-01-06T17:52:00.588544","2021-01-06T17:52:00.588550","dataset"
"10","01f6e969-a9fb-4efe-917b-a8908f67c9c1","on","federated","P1Y","provincial","2021-01-27T15:44:50.809260","2021-01-28T16:45:43.585423","dataset"
"11","02135a05-4b0f-4ea6-853d-107891f57bef","qc","federated","P1Y","provincial","2020-09-11T14:25:34.868601","2021-02-01T14:27:16.866246","dataset"
"12","021b4ac8-3988-43ce-a75b-246aaa70ce05","qc","federated","P1Y","provincial","2020-09-11T14:25:46.036013","2021-02-01T14:27:18.538918","dataset"
"13","021bafa0-f6c7-48c2-8b25-5518516f6356","qc","federated","irregular","municipal","2020-09-11T14:25:57.190198","2021-02-01T14:27:20.218399","dataset"
"14","021eef8a-3285-47cb-b27b-8cb2d32a6dd0","qc","federated","irregular","municipal","2020-09-11T14:26:06.150841","2021-02-01T14:27:21.884396","dataset"
"15","0243430d-6512-4099-a55f-00575d95aa5c","qc","federated","P1Y","provincial","2020-09-11T14:26:14.218192","2021-02-01T14:27:23.751212","dataset"
"16","026cb62e-0f43-44ac-9561-f5bdc5e0530a","qc","federated","P1W","municipal","2020-09-11T14:26:21.729680","2020-12-21T19:26:43.880764","dataset"
