,ID,org,title,collection,date_created,date_last_mod
1,9d878379-c7fc-49f4-a21a-aa819959d095,statcan,"Student debt of postsecondary graduates from all sources, by province of study, level of study, field of study and sex",primary,2020-12-14T13:39:23.626455,2020-12-15T13:39:46.681725
2,6621b73c-6c13-4349-adb1-69394ec4024e,statcan,"Student debt of postsecondary graduates from all sources, by province of residence at interview, level of study, field of study and sex",primary,2020-12-14T13:39:20.686666,2020-12-15T13:39:44.913933
3,fd848aba-631f-4fe6-b4da-898a6cf431ac,statcan,"Postsecondary graduates who owed money for their education to government-sponsored student loans at graduation, by province of study, level of study, field of study and sex",primary,2020-12-14T13:39:17.639111,2020-12-15T13:39:43.056324
4,9da345ae-aba2-4ab9-a906-d4516d458257,statcan,"Postsecondary graduates who owed money for their education to government-sponsored student loans at graduation, by province of residence at interview, level of study, field of study and sex",primary,2020-12-14T13:39:14.677955,2020-12-15T13:39:40.988829
5,57aca795-dff7-4565-9494-9e468bd8d4f4,statcan,"Postsecondary graduates, by province of study, level of study, field of study and sex",primary,2020-12-14T13:39:09.630861,2020-12-15T13:39:38.990878
6,b687d85b-312c-4346-9424-b83d3e0509c1,statcan,"Postsecondary graduates, by province of residence at interview, level of study, field of study and sex",primary,2020-12-14T13:39:05.463294,2020-12-15T13:39:37.073253
7,f5b3394c-f8f5-4eb3-b075-d48884b4208e,statcan,"Self-perceived mental health and suicidal thoughts by Aboriginal identity, age group and sex",primary,2020-12-09T13:40:54.814530,2020-12-10T13:40:19.501628
8,67d5d436-4474-434e-8fab-c779f8035fee,statcan,"Self-perceived general health by Aboriginal identity, age group and sex",primary,2020-12-09T13:40:52.252007,2020-12-10T13:40:17.815410
9,dacb446c-270e-4c9f-91e6-afddfb4fdd6e,statcan,"Long-term health problems (self-reported) by Aboriginal identity, age group and sex",primary,2020-12-09T13:40:41.216841,2020-12-10T13:40:15.946753
10,b09c3522-f7ba-4d10-a5e6-1aef33207868,statcan,"Access to and use of health care services by Aboriginal identity, age group and sex",primary,2020-12-09T13:40:38.353036,2020-12-10T13:40:14.358580
11,d87b876d-41c0-4e14-b03d-ba2092f85faf,statcan,"Smoking status by Aboriginal identity, age group and sex",primary,2020-12-09T13:40:35.530410,2020-12-10T13:40:12.634377
12,651e0ca5-e9fd-4ba3-a623-84929d08ead5,statcan,"Certification, continuation and discontinuation rates of newly registered apprentices within program duration, 1.5 times program duration and 2 times program duration",primary,2020-12-09T13:39:19.457624,2020-12-10T13:39:27.862587
